dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,16.916809,11.287709,0.000649,0.064949,3.247469,162.373440,3.130203
0.020000,16.917197,11.287704,0.001038,0.019433,-2.275811,-276.163981,3.130514
0.020000,16.917975,11.287696,0.001816,0.038888,0.972729,162.426975,3.131136
0.020000,16.919143,11.287684,0.002984,0.058385,0.974869,0.107017,3.132071
0.020000,16.911044,11.287756,0.011083,0.404963,17.328904,817.701725,3.133319
0.020000,16.900010,11.287839,0.022117,0.551701,7.336897,-499.600309,3.134883
0.020000,16.886778,11.287915,0.035349,0.661608,5.495323,-92.078714,3.136767
0.020000,16.871352,11.287972,0.050776,0.771329,5.486050,-0.463650,3.138975
0.020000,16.853737,11.287996,0.068390,0.880721,5.469637,-0.820663,3.141511
0.020000,16.833944,11.287969,0.088183,0.989643,5.446077,-1.177988,3.144379
0.020000,16.811972,11.287873,0.110156,1.098650,5.450354,0.213860,3.147588
0.020000,16.787837,11.287685,0.134291,1.206766,5.405789,-2.228250,3.151140
0.020000,16.761546,11.287383,0.160584,1.314625,5.392979,-0.640527,3.155046
0.020000,16.733108,11.286940,0.189025,1.422074,5.372450,-1.026413,3.159312
0.020000,16.702535,11.286327,0.219604,1.528958,5.344182,-1.413435,3.163947
0.020000,16.669843,11.285515,0.252307,1.635122,5.308186,-1.799775,3.168961
0.020000,16.635044,11.284468,0.287121,1.740729,5.280371,-1.390742,3.174363
0.020000,16.598156,11.283152,0.324033,1.845580,5.242568,-1.890153,3.180164
0.020000,16.559191,11.281527,0.363032,1.949930,5.217458,-1.255520,3.186377
0.020000,16.518173,11.279553,0.404097,2.053260,5.166514,-2.547196,3.193013
0.020000,16.475120,11.277185,0.447215,2.155908,5.132391,-1.706129,3.200087
0.020000,16.430055,11.274376,0.492368,2.257655,5.087360,-2.251551,3.207612
0.020000,16.383004,11.271077,0.539534,2.358317,5.033123,-2.711849,3.215602
0.020000,16.333992,11.267235,0.588696,2.458086,4.988428,-2.234749,3.224073
0.020000,16.283046,11.262794,0.639835,2.556966,4.944024,-2.220200,3.233043
0.020000,16.230196,11.257695,0.692931,2.654771,4.890231,-2.689681,3.242527
0.020000,16.175478,11.251877,0.747958,2.751358,4.829369,-3.043093,3.252544
0.020000,16.118927,11.245275,0.804893,2.846748,4.769481,-2.994400,3.263111
0.020000,16.060580,11.237821,0.863714,2.941055,4.715356,-2.706237,3.274247
0.020000,16.000475,11.229443,0.924400,3.034273,4.660904,-2.722625,3.285971
0.020000,15.938656,11.220067,0.986926,3.126317,4.602185,-2.935943,3.298303
0.020000,15.875170,11.209615,1.051266,3.217014,4.534853,-3.366579,3.311260
0.020000,15.810065,11.198007,1.117399,3.306627,4.480627,-2.711309,3.324862
0.020000,15.743390,11.185158,1.185300,3.395085,4.422931,-2.884802,3.339127
0.020000,15.675197,11.170981,1.254951,3.482529,4.372172,-2.537964,3.354071
0.020000,15.605544,11.155385,1.326329,3.568901,4.318612,-2.677986,3.369710
0.020000,15.534483,11.138277,1.399420,3.654562,4.283054,-1.777879,3.386059
0.020000,15.462076,11.119559,1.474207,3.739351,4.239445,-2.180486,3.403128
0.020000,15.388382,11.099131,1.550681,3.823666,4.215761,-1.184174,3.420927
0.020000,15.313462,11.076890,1.628832,3.907592,4.196274,-0.974369,3.439461
0.020000,15.237373,11.052729,1.708665,3.991621,4.201483,0.260468,3.458730
0.020000,15.160181,11.026537,1.790180,4.075755,4.206678,0.259719,3.478730
0.020000,15.081943,10.998202,1.873391,4.160542,4.239369,1.634561,3.499452
0.020000,15.002719,10.967606,1.958317,4.246322,4.288980,2.480541,3.520879
0.020000,14.922565,10.934628,2.044990,4.333628,4.365327,3.817369,3.542988
0.020000,14.841538,10.899145,2.133446,4.422820,4.459598,4.713544,3.565749
0.020000,14.759689,10.861028,2.223736,4.514470,4.582479,6.144031,3.589121
0.020000,14.677067,10.820145,2.315919,4.609152,4.734101,7.581138,3.613057
0.020000,14.593721,10.776362,2.410065,4.707322,4.908486,8.719258,3.637500
0.020000,14.509693,10.729541,2.506257,4.809591,5.113495,10.250450,3.662385
0.020000,14.425026,10.679541,2.604586,4.916450,5.342927,11.471576,3.687638
0.020000,14.339756,10.626219,2.705155,5.028461,5.600543,12.880819,3.713178
0.020000,14.253923,10.569431,2.808074,5.145921,5.873004,13.623056,3.738917
0.020000,14.167562,10.509034,2.913459,5.269272,6.167559,14.727710,3.764760
0.020000,14.080708,10.444886,3.021434,5.398747,6.473752,15.309672,3.790610
0.020000,13.993396,10.376848,3.132125,5.534564,6.790838,15.854310,3.816365
0.020000,13.905662,10.304787,3.245660,5.676718,7.107710,15.843570,3.841925
0.020000,13.817541,10.228577,3.362164,5.825218,7.424987,15.863850,3.867186
0.020000,13.729070,10.148099,3.481762,5.979912,7.734723,15.486794,3.892051
0.020000,13.640284,10.063248,3.604574,6.140571,8.032922,14.909988,3.916424
0.020000,13.551219,9.973927,3.730711,6.306881,8.315496,14.128702,3.940214
0.020000,13.461909,9.880056,3.860280,6.478463,8.579136,13.181985,3.963337
0.020000,13.372384,9.781565,3.993378,6.654893,8.821468,12.116589,3.985716
0.020000,13.282672,9.678402,4.130093,6.835726,9.041646,11.008924,4.007280
0.020000,13.192794,9.570528,4.270503,7.020510,9.239197,9.877525,4.027967
0.020000,13.102764,9.457917,4.414678,7.208747,9.411856,8.632965,4.047720
0.020000,13.012590,9.340560,4.562679,7.400054,9.565348,7.674580,4.066490
0.020000,12.922265,9.218457,4.714559,7.594006,9.697630,6.614125,4.084236
0.020000,12.831777,9.091622,4.870364,7.790250,9.812163,5.726649,4.100920
0.020000,12.741097,8.960080,5.030134,7.988473,9.911160,4.949860,4.116512
0.020000,12.650185,8.823863,5.193902,8.188409,9.996812,4.282553,4.130982
0.020000,12.558983,8.683014,5.361700,8.389910,10.075037,3.911298,4.144308
0.020000,12.467422,8.537580,5.533556,8.592805,10.144735,3.484872,4.156466
0.020000,12.375413,8.387615,5.709496,8.797017,10.210625,3.294524,4.167434
