dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,17.308864,11.684724,0.000646,0.064622,3.231086,161.554290,3.961453
0.020000,17.308865,11.684725,0.000648,0.000094,-3.226363,-322.872444,3.961455
0.020000,17.308867,11.684728,0.000652,0.000187,0.004629,161.549585,3.961458
0.020000,17.305934,11.681585,0.004952,0.214998,10.740528,536.794980,3.961462
0.020000,17.298884,11.674031,0.015284,0.516615,15.080857,217.016442,3.961468
0.020000,17.290071,11.664589,0.028200,0.645783,6.458390,-431.123374,3.961475
0.020000,17.279496,11.653258,0.043699,0.774960,6.458860,0.023543,3.961483
0.020000,17.267158,11.640038,0.061782,0.904148,6.459425,0.028240,3.961492
0.020000,17.253057,11.624929,0.082449,1.033350,6.460083,0.032911,3.961502
0.020000,17.237193,11.607930,0.105700,1.162567,6.460836,0.037636,3.961512
0.020000,17.219566,11.589041,0.131536,1.291800,6.461683,0.042364,3.961522
0.020000,17.200175,11.568263,0.159957,1.421053,6.462624,0.047012,3.961532
0.020000,17.179020,11.545594,0.190964,1.550326,6.463660,0.051814,3.961541
0.020000,17.156102,11.521034,0.224556,1.679622,6.464788,0.056403,3.961550
0.020000,17.131419,11.494583,0.260735,1.808942,6.466012,0.061185,3.961557
0.020000,17.104971,11.466240,0.299501,1.938289,6.467329,0.065855,3.961563
0.020000,17.076758,11.436006,0.340854,2.067663,6.468741,0.070585,3.961567
0.020000,17.046780,11.403879,0.384795,2.197068,6.470246,0.075272,3.961568
0.020000,17.015035,11.369859,0.431326,2.326505,6.471846,0.079980,3.961566
0.020000,16.981524,11.333947,0.480445,2.455976,6.473539,0.084687,3.961560
0.020000,16.946245,11.296141,0.532155,2.585483,6.475327,0.089383,3.961551
0.020000,16.909198,11.256441,0.586455,2.715027,6.477209,0.094124,3.961536
0.020000,16.870382,11.214847,0.643348,2.844610,6.479185,0.098772,3.961516
0.020000,16.829796,11.171359,0.702832,2.974236,6.481256,0.103533,3.961490
0.020000,16.787440,11.125976,0.764910,3.103904,6.483420,0.108221,3.961457
0.020000,16.743312,11.078698,0.829583,3.233617,6.485677,0.112874,3.961416
0.020000,16.697411,11.029524,0.896850,3.363378,6.488033,0.117755,3.961367
0.020000,16.649735,10.978456,0.966714,3.493188,6.490477,0.122244,3.961310
0.020000,16.600284,10.925492,1.039175,3.623048,6.493019,0.127084,3.961242
0.020000,16.549056,10.870633,1.114234,3.752961,6.495654,0.131727,3.961163
0.020000,16.496048,10.813878,1.191893,3.882929,6.498387,0.136655,3.961073
0.020000,16.441260,10.755228,1.272152,4.012953,6.501207,0.141005,3.960971
0.020000,16.384690,10.694683,1.355012,4.143036,6.504127,0.146021,3.960855
0.020000,16.326335,10.632244,1.440476,4.273178,6.507140,0.150658,3.960725
0.020000,16.266193,10.567910,1.528544,4.403383,6.510245,0.155250,3.960579
0.020000,16.204261,10.501682,1.619217,4.533652,6.513451,0.160278,3.960417
0.020000,16.140538,10.433562,1.712497,4.663987,6.516744,0.164637,3.960237
0.020000,16.075019,10.363549,1.808384,4.794390,6.520137,0.169641,3.960039
0.020000,16.007703,10.291645,1.906882,4.924862,6.523621,0.174227,3.959821
0.020000,15.938585,10.217851,2.007990,5.055406,6.527202,0.179026,3.959583
0.020000,15.867663,10.142167,2.111710,5.186024,6.530876,0.183741,3.959322
0.020000,15.794932,10.064596,2.218045,5.316717,6.534649,0.188620,3.959038
0.020000,15.720389,9.985140,2.326994,5.447487,6.538510,0.193062,3.958730
0.020000,15.644029,9.903799,2.438561,5.578337,6.542476,0.198306,3.958396
0.020000,15.565848,9.820576,2.552746,5.709267,6.546520,0.202179,3.958035
0.020000,15.485841,9.735474,2.669552,5.840281,6.550683,0.208138,3.957646
0.020000,15.404003,9.648494,2.788980,5.971379,6.554920,0.211846,3.957227
0.020000,15.320328,9.559640,2.911031,6.102564,6.559263,0.217162,3.956777
0.020000,15.234811,9.468914,3.035708,6.233838,6.563701,0.221922,3.956295
0.020000,15.147446,9.376320,3.163012,6.365203,6.568226,0.226257,3.955778
0.020000,15.058226,9.281861,3.292945,6.496660,6.572856,0.231484,3.955227
0.020000,14.967145,9.185542,3.425509,6.628212,6.577580,0.236223,3.954638
0.020000,14.874195,9.087366,3.560706,6.759859,6.582395,0.240712,3.954011
0.020000,14.779368,8.987338,3.698538,6.891606,6.587308,0.245642,3.953343
0.020000,14.682657,8.885462,3.839007,7.023452,6.592315,0.250355,3.952634
0.020000,14.584054,8.781745,3.982115,7.155400,6.597424,0.255490,3.951882
0.020000,14.483549,8.676192,4.127864,7.287453,6.602624,0.259958,3.951085
0.020000,14.381133,8.568808,4.276257,7.419611,6.607912,0.264409,3.950241
0.020000,14.276797,8.459600,4.427294,7.551877,6.613302,0.269533,3.949349
0.020000,14.170530,8.348576,4.580979,7.684253,6.618787,0.274210,3.948407
0.020000,14.062321,8.235742,4.737314,7.816740,6.624369,0.279110,3.947413
0.020000,13.952160,8.121107,4.896301,7.949341,6.630039,0.283523,3.946365
0.020000,13.840034,8.004678,5.057942,8.082057,6.635803,0.288193,3.945262
0.020000,13.725932,7.886464,5.222240,8.214891,6.641670,0.293318,3.944101
0.020000,13.609840,7.766476,5.389197,8.347843,6.647620,0.297547,3.942880
0.020000,13.491745,7.644722,5.558815,8.480916,6.653663,0.302141,3.941599
0.020000,13.371633,7.521214,5.731097,8.614112,6.659808,0.307230,3.940254
0.020000,13.249489,7.395963,5.906046,8.747433,6.666024,0.310797,3.938844
0.020000,13.125299,7.268979,6.083664,8.880880,6.672351,0.316359,3.937367
0.020000,12.999046,7.140277,6.263953,9.014455,6.678752,0.320042,3.935820
0.020000,12.870713,7.009868,6.446916,9.148160,6.685247,0.324772,3.934202
0.020000,12.740285,6.877768,6.632556,9.281996,6.691823,0.328793,3.932511
0.020000,12.607743,6.743989,6.820875,9.415966,6.698486,0.333158,3.930744
0.020000,12.473068,6.608548,7.011876,9.550071,6.705230,0.337210,3.928899
0.020000,12.336241,6.471461,7.205563,9.684312,6.712055,0.341208,3.926974
0.020000,12.197243,6.332745,7.401937,9.818691,6.718957,0.345136,3.924967
0.020000,12.056053,6.192418,7.601001,9.953209,6.725929,0.348606,3.922876
0.020000,11.912649,6.050497,7.802758,10.087869,6.732982,0.352613,3.920698
0.020000,11.767010,5.907004,8.007212,10.222671,6.740094,0.355634,3.918431
0.020000,11.619112,5.761957,8.214364,10.357616,6.747274,0.358999,3.916073
0.020000,11.468932,5.615380,8.424218,10.492707,6.754525,0.362523,3.913621
0.020000,11.316447,5.467295,8.636777,10.627943,6.761796,0.363566,3.911073
0.020000,11.161629,5.317724,8.852043,10.763326,6.769164,0.368405,3.908428
0.020000,11.004455,5.166693,9.070021,10.898857,6.776552,0.369383,3.905681
0.020000,10.845373,5.014682,9.290054,11.001690,5.141620,-81.746572,3.902840
0.020000,10.685714,4.862995,9.510281,11.011337,0.482360,-232.963023,3.899928
0.020000,10.526827,4.712927,9.728834,10.927651,-4.184269,-233.331436,3.896970
0.020000,10.369273,4.565002,9.944948,10.805677,-6.098726,-95.722887,3.893980
0.020000,10.213138,4.419290,10.158513,10.678254,-6.371148,-13.621061,3.890960
0.020000,10.058433,4.275787,10.369526,10.550670,-6.379204,-0.402839,3.887913
0.020000,9.905168,4.134491,10.577985,10.422929,-6.387048,-0.392191,3.884843
0.020000,9.753354,3.995395,10.783885,10.295031,-6.394898,-0.392507,3.881751
0.020000,9.603004,3.858494,10.987225,10.166978,-6.402633,-0.386728,3.878639
0.020000,9.454128,3.723784,11.188000,10.038774,-6.410229,-0.379780,3.875512
0.020000,9.306739,3.591258,11.386209,9.910417,-6.417817,-0.379407,3.872370
0.020000,9.160851,3.460909,11.581847,9.781914,-6.425192,-0.368784,3.869216
0.020000,9.016476,3.332729,11.774912,9.653262,-6.432556,-0.368201,3.866053
