dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,15.481237,13.390531,0.000646,0.064622,3.231086,161.554290,3.961453
0.020000,15.481235,13.390530,0.000648,0.000094,-3.226363,-322.872444,3.961455
0.020000,15.481233,13.390527,0.000652,0.000187,0.004629,161.549585,3.961458
0.020000,15.478291,13.387376,0.004963,0.215549,10.768112,538.174162,3.961462
0.020000,15.471232,13.379812,0.015309,0.517333,15.089173,216.053075,3.961468
0.020000,15.462407,13.370357,0.028243,0.646652,6.465953,-431.161014,3.961475
0.020000,15.451818,13.359011,0.043762,0.775961,6.465483,-0.023506,3.961483
0.020000,15.439465,13.345775,0.061867,0.905260,6.464919,-0.028219,3.961492
0.020000,15.425348,13.330648,0.082558,1.034545,6.464259,-0.032957,3.961502
0.020000,15.409467,13.313631,0.105834,1.163815,6.463507,-0.037641,3.961512
0.020000,15.391822,13.294724,0.131696,1.293068,6.462660,-0.042323,3.961522
0.020000,15.372414,13.273927,0.160142,1.422303,6.461718,-0.047085,3.961532
0.020000,15.351244,13.251241,0.191172,1.551516,6.460685,-0.051691,3.961541
0.020000,15.328310,13.226665,0.224786,1.680708,6.459554,-0.056512,3.961550
0.020000,15.303614,13.200200,0.260984,1.809874,6.458332,-0.061139,3.961557
0.020000,15.277157,13.171847,0.299764,1.939014,6.457014,-0.065879,3.961563
0.020000,15.248938,13.141606,0.341126,2.068126,6.455603,-0.070558,3.961567
0.020000,15.218957,13.109477,0.385071,2.197208,6.454097,-0.075281,3.961568
0.020000,15.187216,13.075461,0.431596,2.326258,6.452498,-0.079982,3.961566
0.020000,15.153714,13.039559,0.480701,2.455274,6.450804,-0.084686,3.961560
0.020000,15.118452,13.001771,0.532386,2.584255,6.449016,-0.089402,3.961551
0.020000,15.081430,12.962098,0.586650,2.713197,6.447134,-0.094072,3.961536
0.020000,15.042648,12.920540,0.643492,2.842101,6.445158,-0.098837,3.961516
0.020000,15.002107,12.877100,0.702911,2.970962,6.443088,-0.103490,3.961490
0.020000,14.959807,12.831777,0.764907,3.099781,6.440924,-0.108218,3.961457
0.020000,14.915748,12.784573,0.829478,3.228554,6.438664,-0.112982,3.961416
0.020000,14.869930,12.735489,0.896624,3.357280,6.436314,-0.117520,3.961367
0.020000,14.822353,12.684526,0.966343,3.485958,6.433864,-0.122452,3.961310
0.020000,14.773018,12.631686,1.038635,3.614584,6.431324,-0.127035,3.961242
0.020000,14.721923,12.576970,1.113498,3.743158,6.428687,-0.131818,3.961163
0.020000,14.669070,12.520380,1.190931,3.871677,6.425961,-0.136320,3.961073
0.020000,14.614457,12.461917,1.270934,4.000140,6.423133,-0.141402,3.960971
0.020000,14.558084,12.401584,1.353505,4.128544,6.420217,-0.145823,3.960855
0.020000,14.499951,12.339383,1.438643,4.256888,6.417204,-0.150626,3.960725
0.020000,14.440058,12.275315,1.526346,4.385170,6.414094,-0.155478,3.960579
0.020000,14.378403,12.209384,1.616614,4.513388,6.410896,-0.159901,3.960417
0.020000,14.314986,12.141591,1.709445,4.641540,6.407597,-0.164996,3.960237
0.020000,14.249806,12.071940,1.804837,4.769624,6.404207,-0.169453,3.960039
0.020000,14.182862,12.000433,1.902790,4.897639,6.400721,-0.174333,3.959821
0.020000,14.114152,11.927074,2.003302,5.025581,6.397141,-0.179007,3.959583
0.020000,14.043675,11.851866,2.106371,5.153451,6.393465,-0.183771,3.959322
0.020000,13.971430,11.774813,2.211996,5.281245,6.389698,-0.188378,3.959038
0.020000,13.897414,11.695918,2.320175,5.408961,6.385829,-0.193427,3.958730
0.020000,13.821625,11.615186,2.430907,5.536599,6.381875,-0.197686,3.958396
0.020000,13.744062,11.532621,2.544190,5.664155,6.377809,-0.203314,3.958035
0.020000,13.664721,11.448227,2.660022,5.791628,6.373672,-0.206877,3.957646
0.020000,13.583601,11.362010,2.778403,5.919017,6.369418,-0.212681,3.957227
0.020000,13.500698,11.273975,2.899329,6.046318,6.365080,-0.216896,3.956777
0.020000,13.416008,11.184127,3.022800,6.173531,6.360647,-0.221669,3.956295
0.020000,13.329529,11.092472,3.148813,6.300653,6.356109,-0.226867,3.955778
0.020000,13.241256,10.999016,3.277366,6.427683,6.351486,-0.231187,3.955227
0.020000,13.151186,10.903766,3.408459,6.554618,6.346766,-0.235992,3.954638
0.020000,13.059314,10.806729,3.542088,6.681457,6.341945,-0.241047,3.954011
0.020000,12.965635,10.707911,3.678252,6.808198,6.337032,-0.245665,3.953343
0.020000,12.870145,10.607321,3.816949,6.934838,6.332022,-0.250495,3.952634
0.020000,12.772837,10.504967,3.958176,7.061377,6.326924,-0.254904,3.951882
0.020000,12.673706,10.400857,4.101932,7.187811,6.321724,-0.259965,3.951085
0.020000,12.572746,10.294999,4.248215,7.314140,6.316424,-0.265029,3.950241
0.020000,12.469951,10.187404,4.397022,7.440360,6.311035,-0.269416,3.949349
0.020000,12.365312,10.078082,4.548352,7.566471,6.305551,-0.274224,3.948407
0.020000,12.258824,9.967042,4.702201,7.692471,6.299975,-0.278787,3.947413
0.020000,12.150478,9.854295,4.858568,7.818357,6.294299,-0.283798,3.946365
0.020000,12.040266,9.739853,5.017451,7.944128,6.288529,-0.288519,3.945262
0.020000,11.928179,9.623728,5.178847,8.069781,6.282674,-0.292747,3.944101
0.020000,11.814208,9.505932,5.342753,8.195315,6.276718,-0.297801,3.942880
0.020000,11.698344,9.386478,5.509167,8.320729,6.270669,-0.302434,3.941599
0.020000,11.580575,9.265380,5.678088,8.446020,6.264539,-0.306507,3.940254
0.020000,11.460893,9.142652,5.849512,8.571186,6.258299,-0.311985,3.938844
0.020000,11.339285,9.018309,6.023436,8.696225,6.251991,-0.315409,3.937367
0.020000,11.215739,8.892366,6.199859,8.821137,6.245580,-0.320558,3.935820
0.020000,11.090244,8.764841,6.378777,8.945919,6.239089,-0.324551,3.934202
0.020000,10.962787,8.635749,6.560189,9.070569,6.232507,-0.329089,3.932511
0.020000,10.833353,8.505109,6.744090,9.195086,6.225845,-0.333120,3.930744
0.020000,10.701930,8.372939,6.930480,9.319468,6.219099,-0.337267,3.928899
0.020000,10.568503,8.239257,7.119354,9.443713,6.212274,-0.341252,3.926974
0.020000,10.433056,8.104085,7.310710,9.567821,6.205373,-0.345063,3.924967
0.020000,10.295574,7.967443,7.504546,9.691789,6.198392,-0.349052,3.922876
0.020000,10.156041,7.829353,7.700858,9.815616,6.191348,-0.352216,3.920698
0.020000,10.014439,7.689837,7.899644,9.939300,6.184228,-0.356005,3.918431
0.020000,9.870750,7.548919,8.100901,10.062841,6.177046,-0.359089,3.916073
0.020000,9.724957,7.406623,8.304626,10.186237,6.169814,-0.361607,3.913621
0.020000,9.577041,7.262975,8.510816,10.309487,6.162492,-0.366081,3.911073
0.020000,9.426981,7.118000,8.719468,10.432590,6.155165,-0.366370,3.908428
0.020000,9.274757,6.971727,8.930578,10.555546,6.147768,-0.369857,3.905681
0.020000,9.120810,6.824622,9.143510,10.646578,4.551628,-79.806975,3.902840
0.020000,8.966429,6.677949,9.356457,10.647327,0.037426,-225.710091,3.899928
0.020000,8.812917,6.532958,9.567615,10.557941,-4.469313,-225.336942,3.896970
0.020000,8.660815,6.390151,9.776252,10.431825,-6.305768,-91.822778,3.893980
0.020000,8.510199,6.249590,9.982267,10.300762,-6.553169,-12.370054,3.890960
0.020000,8.361078,6.111267,10.185664,10.169857,-6.545220,0.397450,3.887913
0.020000,8.213457,5.975174,10.386446,10.039113,-6.537242,0.398907,3.884843
0.020000,8.067343,5.841300,10.584617,9.908524,-6.529450,0.389590,3.881751
0.020000,7.922743,5.709636,10.780179,9.778089,-6.521731,0.385943,3.878639
0.020000,7.779666,5.580172,10.973135,9.647808,-6.514067,0.383206,3.875512
0.020000,7.638118,5.452898,11.163488,9.517676,-6.506589,0.373938,3.872370
0.020000,7.498109,5.327802,11.351242,9.387694,-6.499102,0.374309,3.869216
0.020000,7.359648,5.204873,11.536399,9.257858,-6.491806,0.364829,3.866053
