dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.649390,11.062986,0.000648,0.064789,3.239464,161.973202,6.281936
0.020000,4.649058,11.062986,0.000980,0.016599,-2.409526,-282.449485,6.282202
0.020000,4.648394,11.062987,0.001644,0.033184,0.829241,161.938355,6.282733
0.020000,4.650754,11.062987,0.004003,0.117978,4.239713,170.523586,0.000343
0.020000,4.659794,11.062995,0.013044,0.452035,16.702835,623.156076,0.001404
0.020000,4.671097,11.063019,0.024347,0.565140,5.655293,-552.377099,0.002728
0.020000,4.684663,11.063066,0.037913,0.678301,5.658050,0.137842,0.004315
0.020000,4.700493,11.063149,0.053743,0.791510,5.660416,0.118331,0.006163
0.020000,4.718589,11.063280,0.071839,0.904811,5.665067,0.232543,0.008272
0.020000,4.738952,11.063473,0.092203,1.018199,5.669382,0.215774,0.010640
0.020000,4.761584,11.063743,0.114837,1.131714,5.675744,0.318076,0.013265
0.020000,4.786489,11.064109,0.139744,1.245351,5.681855,0.305568,0.016146
0.020000,4.813667,11.064591,0.166926,1.359107,5.687835,0.298971,0.019279
0.020000,4.843121,11.065209,0.196387,1.473052,5.697210,0.468774,0.022663
0.020000,4.874855,11.065986,0.228130,1.587147,5.704769,0.377948,0.026294
0.020000,4.908870,11.066946,0.262159,1.701453,5.715279,0.525465,0.030169
0.020000,4.945171,11.068117,0.298479,1.815970,5.725872,0.529689,0.034286
0.020000,4.983759,11.069524,0.337093,1.930711,5.737052,0.558997,0.038640
0.020000,5.024640,11.071199,0.378008,2.045750,5.751959,0.745354,0.043226
0.020000,5.067816,11.073170,0.421229,2.161042,5.764611,0.632570,0.048042
0.020000,5.113291,11.075472,0.466762,2.276649,5.780331,0.786037,0.053080
0.020000,5.161068,11.078136,0.514614,2.392587,5.796895,0.828184,0.058337
0.020000,5.211153,11.081199,0.564792,2.508919,5.816624,0.986430,0.063806
0.020000,5.263548,11.084696,0.617304,2.625606,5.834317,0.884640,0.069481
0.020000,5.318259,11.088666,0.672159,2.742737,5.856545,1.111400,0.075355
0.020000,5.375290,11.093146,0.729365,2.860327,5.879509,1.148230,0.081422
0.020000,5.434645,11.098176,0.788933,2.978395,5.903419,1.195479,0.087672
0.020000,5.496329,11.103798,0.850873,3.096968,5.928660,1.262051,0.094098
0.020000,5.560347,11.110053,0.915195,3.216123,5.957725,1.453241,0.100691
0.020000,5.626703,11.116984,0.981912,3.335845,5.986112,1.419394,0.107442
0.020000,5.695402,11.124635,1.051036,3.456188,6.017151,1.551916,0.114341
0.020000,5.766449,11.133048,1.122580,3.577201,6.050648,1.674850,0.121376
0.020000,5.839850,11.142268,1.196558,3.698887,6.084308,1.683004,0.128538
0.020000,5.915610,11.152342,1.272984,3.821315,6.121369,1.853040,0.135815
0.020000,5.993733,11.163312,1.351874,3.944491,6.158822,1.872645,0.143193
0.020000,6.074225,11.175226,1.433243,4.068462,6.198537,1.985760,0.150662
0.020000,6.157093,11.188127,1.517108,4.193270,6.240392,2.092784,0.158206
0.020000,6.242340,11.202061,1.603487,4.318922,6.282618,2.111256,0.165814
0.020000,6.329973,11.217073,1.692396,4.445478,6.327780,2.258116,0.173470
0.020000,6.419997,11.233207,1.783855,4.572946,6.373421,2.282039,0.181160
0.020000,6.512420,11.250505,1.877883,4.701367,6.421066,2.382263,0.188868
0.020000,6.607246,11.269012,1.974498,4.830761,6.469695,2.431481,0.196579
0.020000,6.704482,11.288768,2.073721,4.961157,6.519801,2.505259,0.204277
0.020000,6.804136,11.309814,2.175573,5.092578,6.571024,2.561143,0.211946
0.020000,6.906213,11.332188,2.280073,5.225045,6.623370,2.617339,0.219568
0.020000,7.010722,11.355929,2.387245,5.358579,6.676667,2.664853,0.227127
0.020000,7.117671,11.381070,2.497109,5.493196,6.730891,2.711179,0.234606
0.020000,7.227067,11.407647,2.609687,5.628915,6.785947,2.752806,0.241986
0.020000,7.338921,11.435689,2.725002,5.765748,6.841639,2.784584,0.249250
0.020000,7.453241,11.465226,2.843076,5.903710,6.898076,2.821841,0.256380
0.020000,7.570038,11.496283,2.963933,6.042809,6.954982,2.845325,0.263358
0.020000,7.689325,11.528885,3.087594,6.183062,7.012664,2.884109,0.270165
0.020000,7.811113,11.563050,3.214083,6.324469,7.070301,2.881847,0.276782
0.020000,7.935416,11.598796,3.343424,6.467046,7.128868,2.928324,0.283192
0.020000,8.062249,11.636137,3.475640,6.610798,7.187593,2.936261,0.289375
0.020000,8.191630,11.675081,3.610755,6.755729,7.246576,2.949144,0.295312
0.020000,8.323576,11.715633,3.748792,6.901852,7.306156,2.979027,0.300985
0.020000,8.458107,11.757797,3.889775,7.049171,7.365953,2.989834,0.306374
0.020000,8.595245,11.801567,4.033729,7.197698,7.426345,3.019595,0.311459
0.020000,8.735014,11.846937,4.180678,7.347441,7.487111,3.038296,0.316222
0.020000,8.877441,11.893894,4.330646,7.498410,7.548474,3.068178,0.320643
0.020000,9.022555,11.942420,4.483658,7.650615,7.610262,3.089395,0.324702
0.020000,9.170387,11.992492,4.639740,7.804079,7.673201,3.146923,0.328378
0.020000,9.320972,12.044080,4.798916,7.958814,7.736730,3.176449,0.331652
0.020000,9.474347,12.097150,4.961213,8.114840,7.801308,3.228920,0.334503
0.020000,9.630553,12.151660,5.126657,8.272182,7.867109,3.290040,0.336910
0.020000,9.789634,12.207561,5.295274,8.430862,7.933984,3.343760,0.338851
0.020000,9.951638,12.264799,5.467092,8.590916,8.002690,3.435285,0.340305
0.020000,10.116617,12.323311,5.642140,8.752372,8.072804,3.505702,0.341248
0.020000,10.284016,12.382809,5.819798,8.882904,6.526632,-77.308574,0.341658
0.020000,10.452311,12.442651,5.998416,8.930916,2.400563,-206.303448,0.341521
0.020000,10.619957,12.502185,6.176319,8.895149,-1.788314,-209.443855,0.340843
0.020000,10.786090,12.561006,6.352558,8.811933,-4.160839,-118.626247,0.339643
0.020000,10.950451,12.618931,6.526827,8.713453,-4.923978,-38.156957,0.337946
0.020000,11.113038,12.675878,6.699099,8.613589,-4.993210,-3.461618,0.335774
0.020000,11.273849,12.731770,6.869346,8.512369,-5.061017,-3.390353,0.333148
0.020000,11.432880,12.786536,7.037542,8.409824,-5.127210,-3.309665,0.330089
