dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.647828,9.812987,0.000648,0.064789,3.239464,161.973202,6.281936
0.020000,4.647828,9.812987,0.003239,0.194368,6.478928,161.973202,6.282202
0.020000,4.647828,9.812987,0.008423,0.323946,6.478928,-0.000000,6.282733
0.020000,4.651183,9.812987,0.016197,0.453525,6.478928,0.000000,0.000343
0.020000,4.661549,9.812996,0.026564,0.583104,6.478928,0.000000,0.001404
0.020000,4.674507,9.813023,0.039521,0.712682,6.478928,-0.000000,0.002728
0.020000,4.690056,9.813078,0.055071,0.842261,6.478928,0.000000,0.004315
0.020000,4.708197,9.813173,0.073212,0.971839,6.478928,0.000000,0.006163
0.020000,4.728929,9.813323,0.093944,1.101418,6.478928,0.000000,0.008272
0.020000,4.752252,9.813543,0.117269,1.230996,6.478928,-0.000000,0.010640
0.020000,4.778166,9.813853,0.143184,1.360575,6.478928,0.000000,0.013265
0.020000,4.806670,9.814272,0.171692,1.490153,6.478928,-0.000000,0.016146
0.020000,4.837764,9.814823,0.202790,1.619732,6.478928,0.000000,0.019279
0.020000,4.871447,9.815530,0.236481,1.749311,6.478928,0.000000,0.022663
0.020000,4.907718,9.816418,0.272763,1.878889,6.478928,-0.000000,0.026294
0.020000,4.946576,9.817515,0.311636,2.008468,6.478928,0.000000,0.030169
0.020000,4.988020,9.818851,0.353102,2.138046,6.478928,-0.000000,0.034286
0.020000,5.032047,9.820457,0.397158,2.267625,6.478928,0.000000,0.038640
0.020000,5.078656,9.822366,0.443807,2.397203,6.478928,-0.000000,0.043226
0.020000,5.127845,9.824613,0.493046,2.526782,6.478928,0.000000,0.048042
0.020000,5.179610,9.827232,0.544878,2.656361,6.478928,0.000000,0.053080
0.020000,5.233948,9.830263,0.599301,2.785939,6.478928,0.000000,0.058337
0.020000,5.290857,9.833743,0.656315,2.915518,6.478928,0.000000,0.063806
0.020000,5.350330,9.837712,0.715922,3.045096,6.478928,-0.000000,0.069481
0.020000,5.412365,9.842213,0.778119,3.174675,6.478928,0.000000,0.075355
0.020000,5.476955,9.847287,0.842909,3.304253,6.478928,0.000000,0.081422
0.020000,5.544095,9.852977,0.910289,3.433832,6.478928,0.000000,0.087672
0.020000,5.613778,9.859328,0.980262,3.563410,6.478928,0.000000,0.094098
0.020000,5.685998,9.866385,1.052826,3.692989,6.478928,0.000000,0.100691
0.020000,5.760747,9.874192,1.127981,3.822568,6.478928,-0.000000,0.107442
0.020000,5.838016,9.882797,1.205729,3.952146,6.478928,0.000000,0.114341
0.020000,5.917798,9.892244,1.286067,4.081725,6.478928,-0.000000,0.121376
0.020000,6.000081,9.902581,1.368997,4.211303,6.478928,0.000000,0.128538
0.020000,6.084856,9.913852,1.454519,4.340882,6.478928,-0.000000,0.135815
0.020000,6.172114,9.926106,1.542633,4.470460,6.478928,0.000000,0.143193
0.020000,6.261841,9.939386,1.633338,4.600039,6.478928,0.000000,0.150662
0.020000,6.354027,9.953738,1.726634,4.729617,6.478928,0.000000,0.158206
0.020000,6.448659,9.969206,1.822522,4.859196,6.478928,0.000000,0.165814
0.020000,6.545724,9.985833,1.921002,4.988775,6.478928,0.000000,0.173470
0.020000,6.645210,10.003662,2.022073,5.118353,6.478928,-0.000000,0.181160
0.020000,6.747103,10.022734,2.125736,5.247932,6.478928,0.000000,0.188868
0.020000,6.851390,10.043087,2.231991,5.377510,6.478928,-0.000000,0.196579
0.020000,6.958057,10.064758,2.340837,5.507089,6.478928,-0.000000,0.204277
0.020000,7.067089,10.087785,2.452274,5.636667,6.478928,0.000000,0.211946
0.020000,7.178473,10.112199,2.566303,5.766246,6.478928,-0.000000,0.219568
0.020000,7.292197,10.138032,2.682924,5.895825,6.478928,0.000000,0.227127
0.020000,7.408245,10.165313,2.802136,6.025403,6.478928,-0.000000,0.234606
0.020000,7.526606,10.194067,2.923940,6.154982,6.478928,0.000000,0.241986
0.020000,7.647267,10.224317,3.048336,6.284560,6.478928,0.000000,0.249250
0.020000,7.770217,10.256083,3.175323,6.414139,6.478928,-0.000000,0.256380
0.020000,7.895443,10.289382,3.304901,6.543717,6.478928,0.000000,0.263358
0.020000,8.022937,10.324226,3.437071,6.673296,6.478928,-0.000000,0.270165
0.020000,8.152690,10.360626,3.571833,6.802874,6.478928,0.000000,0.276782
0.020000,8.284693,10.398586,3.709186,6.932453,6.478928,0.000000,0.283192
0.020000,8.418941,10.438109,3.849131,7.062032,6.478928,0.000000,0.289375
0.020000,8.555428,10.479191,3.991668,7.191610,6.478928,0.000000,0.295312
0.020000,8.694152,10.521827,4.136796,7.321189,6.478928,0.000000,0.300985
0.020000,8.835111,10.566005,4.284515,7.450767,6.478928,0.000000,0.306374
0.020000,8.978305,10.611708,4.434826,7.580346,6.478928,-0.000000,0.311459
0.020000,9.123737,10.658916,4.587729,7.709924,6.478928,0.000000,0.316222
0.020000,9.271413,10.707603,4.743223,7.839503,6.478928,-0.000000,0.320643
0.020000,9.421338,10.757738,4.901309,7.969082,6.478928,-0.000000,0.324702
0.020000,9.573523,10.809284,5.061986,8.098660,6.478928,0.000000,0.328378
0.020000,9.727979,10.862198,5.225255,8.228239,6.478928,-0.000000,0.331652
0.020000,9.884722,10.916433,5.391116,8.357817,6.478928,0.000000,0.334503
0.020000,10.043768,10.971934,5.559568,8.487396,6.478928,-0.000000,0.336910
0.020000,10.205139,11.028640,5.730612,8.616974,6.478928,0.000000,0.338851
0.020000,10.368856,11.086483,5.904247,8.746553,6.478928,0.000000,0.340305
0.020000,10.534946,11.145389,6.080474,8.876131,6.478928,0.000000,0.341248
0.020000,10.702828,11.205058,6.258645,8.940921,3.239464,-161.973202,0.341658
0.020000,10.870962,11.264843,6.437091,8.903736,-1.859260,-254.936186,0.341521
0.020000,11.037809,11.324093,6.614146,8.801761,-5.098724,-161.973202,0.340843
0.020000,11.202529,11.382414,6.788885,8.672182,-6.478928,-69.010217,0.339643
0.020000,11.364888,11.439634,6.961033,8.542604,-6.478928,0.000000,0.337946
0.020000,11.524913,11.495683,7.130590,8.413025,-6.478928,0.000000,0.335774
0.020000,11.682623,11.550498,7.297554,8.283447,-6.478928,0.000000,0.333148
0.020000,11.838039,11.604019,7.461928,8.153868,-6.478928,-0.000000,0.330089
0.020000,11.991175,11.656197,7.623709,8.024290,-6.478928,0.000000,0.326619
0.020000,12.142045,11.706986,7.782899,7.894711,-6.478928,-0.000000,0.322757
0.020000,12.290661,11.756347,7.939498,7.765133,-6.478928,0.000000,0.318524
0.020000,12.437029,11.804247,8.093504,7.635554,-6.478928,-0.000000,0.313940
0.020000,12.581157,11.850656,8.244920,7.505975,-6.478928,0.000000,0.309025
0.020000,12.723047,11.895552,8.393743,7.376397,-6.478928,-0.000000,0.303798
0.020000,12.862701,11.938915,8.539976,7.246818,-6.478928,-0.000000,0.298278
0.020000,13.000120,11.980734,8.683616,7.117240,-6.478928,0.000000,0.292485
0.020000,13.135299,12.020998,8.824665,6.987661,-6.478928,-0.000000,0.286438
0.020000,13.268236,12.059704,8.963123,6.858083,-6.478928,0.000000,0.280155
0.020000,13.398925,12.096851,9.098988,6.728504,-6.478928,0.000000,0.273655
0.020000,13.527359,12.132442,9.232263,6.598926,-6.478928,-0.000000,0.266958
0.020000,13.653529,12.166485,9.362945,6.469347,-6.478928,0.000000,0.260082
0.020000,13.777427,12.198992,9.491037,6.339768,-6.478928,-0.000000,0.253045
0.020000,13.899041,12.229978,9.616536,6.210190,-6.478928,0.000000,0.245865
0.020000,14.018360,12.259460,9.739444,6.080611,-6.478928,-0.000000,0.238561
0.020000,14.135373,12.287461,9.859761,5.951033,-6.478928,0.000000,0.231150
0.020000,14.250066,12.314004,9.977486,5.821454,-6.478928,0.000000,0.223651
0.020000,14.362427,12.339116,10.092619,5.691876,-6.478928,-0.000000,0.216080
0.020000,14.472442,12.362828,10.205161,5.562297,-6.478928,0.000000,0.208455
0.020000,14.580098,12.385172,10.315111,5.432718,-6.478928,0.000000,0.200793
0.020000,14.685380,12.406181,10.422469,5.303140,-6.478928,0.000000,0.193109
0.020000,14.788276,12.425893,10.527236,5.173561,-6.478928,0.000000,0.185421
0.020000,14.888771,12.444346,10.629412,5.043983,-6.478928,0.000000,0.177744
0.020000,14.986852,12.461580,10.728996,4.914404,-6.478928,0.000000,0.170094
0.020000,15.082506,12.477636,10.825988,4.784826,-6.478928,-0.000000,0.162485
0.020000,15.175720,12.492556,10.920389,4.655247,-6.478928,0.000000,0.154932
0.020000,15.266481,12.506385,11.012198,4.525669,-6.478928,-0.000000,0.147449
0.020000,15.354778,12.519167,11.101415,4.396090,-6.478928,0.000000,0.140049
0.020000,15.440599,12.530946,11.188041,4.266511,-6.478928,0.000000,0.132745
0.020000,15.523934,12.541770,11.272076,4.136933,-6.478928,0.000000,0.125549
