dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.646267,8.562988,0.000648,0.064789,3.239464,161.973202,6.281936
0.020000,4.646599,8.562987,0.000980,0.016599,-2.409526,-282.449485,6.282202
0.020000,4.647263,8.562987,0.001644,0.033184,0.829241,161.938355,6.282733
0.020000,4.651612,8.562988,0.005993,0.217465,9.214085,419.242192,0.000343
0.020000,4.663303,8.562998,0.017684,0.584569,18.355161,457.053763,0.001404
0.020000,4.677916,8.563028,0.032297,0.730646,7.303889,-552.563556,0.002728
0.020000,4.695449,8.563090,0.049830,0.876666,7.300993,-0.144811,0.004315
0.020000,4.715901,8.563197,0.070282,1.022590,7.296177,-0.240811,0.006163
0.020000,4.739269,8.563365,0.093651,1.168446,7.292830,-0.167357,0.008272
0.020000,4.765552,8.563614,0.119935,1.314196,7.287489,-0.267019,0.010640
0.020000,4.794747,8.563963,0.149132,1.459859,7.283143,-0.217307,0.013265
0.020000,4.826851,8.564435,0.181240,1.605394,7.276730,-0.320642,0.016146
0.020000,4.861861,8.565055,0.216255,1.750760,7.268302,-0.421415,0.019279
0.020000,4.899773,8.565851,0.254175,1.896005,7.262290,-0.300630,0.022663
0.020000,4.940582,8.566850,0.294996,2.041043,7.251858,-0.521581,0.026294
0.020000,4.984282,8.568084,0.338714,2.185903,7.243018,-0.442007,0.030169
0.020000,5.030869,8.569586,0.385325,2.330542,7.231948,-0.553469,0.034286
0.020000,5.080334,8.571390,0.434824,2.474925,7.219163,-0.639292,0.038640
0.020000,5.132672,8.573534,0.487206,2.619096,7.208544,-0.530925,0.043226
0.020000,5.187874,8.576055,0.542464,2.762942,7.192286,-0.812907,0.048042
0.020000,5.245929,8.578993,0.600594,2.906483,7.177071,-0.760735,0.053080
0.020000,5.306828,8.582389,0.661588,3.049681,7.159908,-0.858144,0.058337
0.020000,5.370560,8.586286,0.725439,3.192554,7.143618,-0.814513,0.063806
0.020000,5.437112,8.590728,0.792138,3.334983,7.121449,-1.108472,0.069481
0.020000,5.506470,8.595760,0.861679,3.477015,7.101639,-0.990487,0.075355
0.020000,5.578619,8.601428,0.934051,3.618600,7.079234,-1.120227,0.081422
0.020000,5.653545,8.607778,1.009245,3.759688,7.054402,-1.241617,0.087672
0.020000,5.731227,8.614858,1.087249,3.900239,7.027544,-1.342899,0.094098
0.020000,5.811650,8.622716,1.168055,4.040273,7.001714,-1.291515,0.100691
0.020000,5.894792,8.631400,1.251649,4.179697,6.971181,-1.526640,0.107442
0.020000,5.980631,8.640959,1.338019,4.318499,6.940091,-1.554500,0.114341
0.020000,6.069146,8.651440,1.427152,4.456662,6.908162,-1.596434,0.121376
0.020000,6.160312,8.662893,1.519034,4.594113,6.872527,-1.781778,0.128538
0.020000,6.254103,8.675363,1.613651,4.730857,6.837230,-1.764813,0.135815
0.020000,6.350494,8.688899,1.710988,4.866829,6.798569,-1.933087,0.143193
0.020000,6.449456,8.703546,1.811028,5.002007,6.758921,-1.982361,0.150662
0.020000,6.550961,8.719348,1.913755,5.136371,6.718206,-2.035777,0.158206
0.020000,6.654978,8.736350,2.019153,5.269858,6.674353,-2.192641,0.165814
0.020000,6.761476,8.754594,2.127202,5.402471,6.630627,-2.186313,0.173470
0.020000,6.870423,8.774118,2.237885,5.534154,6.584162,-2.323243,0.181160
0.020000,6.981787,8.794962,2.351183,5.664893,6.536975,-2.359363,0.188868
0.020000,7.095534,8.817161,2.467076,5.794653,6.487999,-2.448779,0.196579
0.020000,7.211631,8.840748,2.585544,5.923414,6.438013,-2.499319,0.204277
0.020000,7.330042,8.865755,2.706567,6.051149,6.386777,-2.561775,0.211946
0.020000,7.450734,8.892209,2.830124,6.177839,6.334499,-2.613887,0.219568
0.020000,7.573671,8.920135,2.956193,6.303463,6.281175,-2.666222,0.227127
0.020000,7.698820,8.949555,3.084753,6.428002,6.226977,-2.709912,0.234606
0.020000,7.826145,8.980487,3.215782,6.551442,6.171989,-2.749374,0.241986
0.020000,7.955614,9.012945,3.349258,6.673765,6.116170,-2.790956,0.249250
0.020000,8.087192,9.046940,3.485157,6.794962,6.059821,-2.817447,0.256380
0.020000,8.220848,9.082480,3.623457,6.915017,6.002782,-2.851975,0.263358
0.020000,8.356550,9.119567,3.764136,7.033928,5.945539,-2.862129,0.270165
0.020000,8.494267,9.158201,3.907169,7.151674,5.887273,-2.913321,0.276782
0.020000,8.633971,9.198375,4.052534,7.268257,5.829180,-2.904662,0.283192
0.020000,8.775632,9.240081,4.200208,7.383666,5.770442,-2.936865,0.289375
0.020000,8.919226,9.283302,4.350165,7.497890,5.711206,-2.961817,0.295312
0.020000,9.064728,9.328021,4.502384,7.610927,5.651843,-2.968139,0.300985
0.020000,9.212114,9.374213,4.656839,7.722765,5.591890,-2.997670,0.306374
0.020000,9.361365,9.421849,4.813507,7.833399,5.531688,-3.010067,0.311459
0.020000,9.512460,9.470895,4.972364,7.942816,5.470884,-3.040211,0.316222
0.020000,9.665384,9.521312,5.133384,8.051008,5.409574,-3.065501,0.320643
0.020000,9.820121,9.573056,5.296543,8.157956,5.347391,-3.109134,0.324702
0.020000,9.976658,9.626076,5.461816,8.263654,5.284896,-3.124789,0.328378
0.020000,10.134987,9.680316,5.629178,8.368078,5.221238,-3.182869,0.331652
0.020000,10.295097,9.735716,5.798602,8.471211,5.156631,-3.230371,0.334503
0.020000,10.456984,9.792208,5.970062,8.573030,5.090948,-3.284148,0.336910
0.020000,10.620644,9.849719,6.143532,8.673504,5.023710,-3.361875,0.338851
0.020000,10.786074,9.908167,6.318985,8.772611,4.955355,-3.417793,0.340305
0.020000,10.953276,9.967467,6.496391,8.870313,4.885087,-3.513368,0.341248
0.020000,11.121641,10.027308,6.675074,8.934149,3.191785,-84.665091,0.341658
