dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,15.287452,13.577199,0.000642,0.064236,3.211807,160.590352,2.303832
0.020000,15.287402,13.577254,0.000716,0.003699,-3.026874,-311.934054,2.303773
0.020000,15.287303,13.577364,0.000864,0.007389,0.184515,160.569472,2.303654
0.020000,15.283247,13.581872,0.006929,0.303230,14.792048,730.376609,2.303477
0.020000,15.276176,13.589732,0.017501,0.528600,11.268516,-176.176590,2.303242
0.020000,15.267342,13.599558,0.030714,0.660688,6.604371,-233.207251,2.302949
0.020000,15.256745,13.611352,0.046569,0.792733,6.602282,-0.104462,2.302598
0.020000,15.244390,13.625114,0.065064,0.924729,6.599776,-0.125269,2.302192
0.020000,15.230278,13.640845,0.086197,1.056666,6.596850,-0.146297,2.301729
0.020000,15.214415,13.658548,0.109968,1.188536,6.593507,-0.167173,2.301213
0.020000,15.196802,13.678223,0.136374,1.320331,6.589748,-0.187928,2.300643
0.020000,15.177446,13.699873,0.165415,1.452042,6.585564,-0.209226,2.300021
0.020000,15.156350,13.723498,0.197088,1.583662,6.580968,-0.229760,2.299350
0.020000,15.133520,13.749102,0.231392,1.715181,6.575952,-0.250828,2.298629
0.020000,15.108962,13.776685,0.268324,1.846591,6.570507,-0.272224,2.297861
0.020000,15.082681,13.806251,0.307882,1.977884,6.564661,-0.292312,2.297048
0.020000,15.054683,13.837800,0.350063,2.109052,6.558381,-0.314009,2.296193
0.020000,15.024975,13.871336,0.394864,2.240085,6.551687,-0.334678,2.295296
0.020000,14.993564,13.906860,0.442284,2.370977,6.544581,-0.355324,2.294360
0.020000,14.960457,13.944374,0.492318,2.501718,6.537038,-0.377153,2.293388
0.020000,14.925660,13.983881,0.544964,2.632300,6.529095,-0.397139,2.292382
0.020000,14.889182,14.025383,0.600218,2.762714,6.520722,-0.418638,2.291346
0.020000,14.851030,14.068881,0.658078,2.892953,6.511935,-0.439363,2.290281
0.020000,14.811212,14.114377,0.718538,3.023007,6.502733,-0.460126,2.289190
0.020000,14.769735,14.161874,0.781595,3.152870,6.493110,-0.481111,2.288078
0.020000,14.726609,14.211373,0.847246,3.282531,6.483073,-0.501854,2.286946
0.020000,14.681840,14.262874,0.915485,3.411983,6.472608,-0.523267,2.285799
0.020000,14.635438,14.316380,0.986310,3.541218,6.461750,-0.542907,2.284639
0.020000,14.587409,14.371891,1.059714,3.670227,6.450450,-0.564970,2.283471
0.020000,14.537763,14.429408,1.135694,3.799002,6.438752,-0.584931,2.282299
0.020000,14.486506,14.488932,1.214245,3.927535,6.426656,-0.604786,2.281125
0.020000,14.433648,14.550461,1.295361,4.055817,6.414096,-0.628005,2.279954
0.020000,14.379195,14.613996,1.379038,4.183841,6.401182,-0.645711,2.278790
0.020000,14.323156,14.679536,1.465270,4.311597,6.387821,-0.668024,2.277638
0.020000,14.265536,14.747080,1.554052,4.439079,6.374057,-0.688235,2.276502
0.020000,14.206344,14.816626,1.645377,4.566276,6.359891,-0.708299,2.275386
0.020000,14.145586,14.888172,1.739241,4.693182,6.345308,-0.729116,2.274295
0.020000,14.083268,14.961716,1.835637,4.819789,6.330320,-0.749404,2.273234
0.020000,14.019396,15.037253,1.934558,4.946087,6.314905,-0.770782,2.272208
0.020000,13.953975,15.114780,2.036000,5.072069,6.299113,-0.789566,2.271221
0.020000,13.887010,15.194292,2.139954,5.197727,6.282882,-0.811545,2.270280
0.020000,13.818505,15.275784,2.246415,5.323052,6.266258,-0.831209,2.269389
0.020000,13.748463,15.359250,2.355376,5.448037,6.249228,-0.851517,2.268554
0.020000,13.676888,15.444684,2.466830,5.572672,6.231769,-0.872928,2.267780
0.020000,13.603781,15.532076,2.580769,5.696950,6.213913,-0.892834,2.267073
0.020000,13.529144,15.621420,2.697186,5.820863,6.195633,-0.913992,2.266439
0.020000,13.452977,15.712705,2.816074,5.944402,6.176960,-0.933647,2.265884
0.020000,13.375280,15.805922,2.937425,6.067559,6.157844,-0.955808,2.265415
0.020000,13.296051,15.901058,3.061231,6.190326,6.138328,-0.975807,2.265036
0.020000,13.215288,15.998101,3.187485,6.312693,6.118382,-0.997288,2.264755
0.020000,13.132988,16.097038,3.316178,6.434653,6.098010,-1.018573,2.264579
0.020000,13.049145,16.197854,3.447302,6.556198,6.077220,-1.039518,2.264513
0.020000,12.963754,16.300533,3.580849,6.677318,6.055994,-1.061319,2.264565
0.020000,12.876807,16.405058,3.716809,6.798004,6.034335,-1.082953,2.264741
0.020000,12.788297,16.511410,3.855174,6.918249,6.012243,-1.104587,2.265049
0.020000,12.698214,16.619570,3.995935,7.038043,5.989704,-1.126918,2.265496
0.020000,12.606546,16.729517,4.139082,7.157378,5.966731,-1.148679,2.266089
0.020000,12.513281,16.841227,4.284607,7.276244,5.943306,-1.171237,2.266836
0.020000,12.418405,16.954676,4.432500,7.394633,5.919433,-1.193678,2.267744
0.020000,12.321901,17.069838,4.582750,7.512535,5.895112,-1.216029,2.268821
0.020000,12.223753,17.186686,4.735349,7.629942,5.870350,-1.238090,2.270076
0.020000,12.123942,17.305190,4.890286,7.746844,5.845126,-1.261202,2.271515
0.020000,12.022446,17.425318,5.047551,7.863233,5.819440,-1.284314,2.273148
0.020000,11.919244,17.547038,5.207133,7.979100,5.793353,-1.304364,2.274982
0.020000,11.814311,17.670314,5.369022,8.094436,5.766784,-1.328420,2.277027
0.020000,11.707621,17.795109,5.533206,8.209232,5.739822,-1.348109,2.279290
0.020000,11.599145,17.921383,5.699676,8.323480,5.712399,-1.371165,2.281781
0.020000,11.488854,18.049095,5.868419,8.437173,5.684624,-1.388738,2.284509
0.020000,11.376716,18.178200,6.039425,8.550301,5.656427,-1.409845,2.287482
0.020000,11.262697,18.308652,6.212683,8.662859,5.627902,-1.426275,2.290709
0.020000,11.146761,18.440402,6.388179,8.774840,5.599035,-1.443336,2.294201
0.020000,11.028870,18.573397,6.565904,8.886238,5.569891,-1.457169,2.297966
0.020000,10.908984,18.707583,6.745845,8.997048,5.540500,-1.469570,2.302013
