dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,17.145319,15.250020,0.000642,0.064236,3.211807,160.590352,2.303832
0.020000,17.145368,15.249965,0.000716,0.003699,-3.026874,-311.934054,2.303773
0.020000,17.145467,15.249856,0.000864,0.007389,0.184515,160.569472,2.303654
0.020000,17.141706,15.254035,0.006486,0.281105,13.685791,675.063757,2.303477
0.020000,17.135029,15.261457,0.016470,0.499178,10.903661,-139.106462,2.303242
0.020000,17.126685,15.270738,0.028950,0.624035,6.242858,-233.040184,2.302949
0.020000,17.116674,15.281880,0.043929,0.748934,6.244946,0.104396,2.302598
0.020000,17.104998,15.294885,0.061407,0.873883,6.247453,0.125384,2.302192
0.020000,17.091658,15.309757,0.081385,0.998891,6.250377,0.146176,2.301729
0.020000,17.076656,15.326498,0.103864,1.123965,6.253719,0.167127,2.301213
0.020000,17.059994,15.345112,0.128846,1.249115,6.257483,0.188208,2.300643
0.020000,17.041673,15.365603,0.156333,1.374348,6.261659,0.208790,2.300021
0.020000,17.021696,15.387975,0.186327,1.499673,6.266261,0.230110,2.299350
0.020000,17.000065,15.412234,0.218829,1.625099,6.271280,0.250936,2.298629
0.020000,16.976783,15.438384,0.253841,1.750633,6.276709,0.271462,2.297861
0.020000,16.951852,15.466431,0.291367,1.876284,6.282574,0.293233,2.297048
0.020000,16.925275,15.496380,0.331408,2.002061,6.288844,0.313484,2.296193
0.020000,16.897054,15.528237,0.373968,2.127972,6.295538,0.334709,2.295296
0.020000,16.867192,15.562009,0.419048,2.254025,6.302657,0.355950,2.294360
0.020000,16.835692,15.597701,0.466653,2.380229,6.310178,0.376057,2.293388
0.020000,16.802557,15.635322,0.516785,2.506591,6.318136,0.397898,2.292382
0.020000,16.767790,15.674877,0.569447,2.633121,6.326501,0.418277,2.291346
0.020000,16.731394,15.716373,0.624644,2.759827,6.335289,0.439364,2.290281
0.020000,16.693371,15.759819,0.682378,2.886717,6.344496,0.460378,2.289190
0.020000,16.653724,15.805220,0.742654,3.013800,6.354119,0.481138,2.288078
0.020000,16.612456,15.852586,0.805476,3.141083,6.364161,0.502081,2.286946
0.020000,16.569569,15.901923,0.870847,3.268575,6.374607,0.522327,2.285799
0.020000,16.525066,15.953239,0.938773,3.396285,6.385491,0.544212,2.284639
0.020000,16.478948,16.006542,1.009257,3.524220,6.396766,0.563711,2.283471
0.020000,16.431217,16.061839,1.082305,3.652389,6.408469,0.585155,2.282299
0.020000,16.381876,16.119138,1.157921,3.780801,6.420602,0.606636,2.281125
0.020000,16.330925,16.178447,1.236110,3.909463,6.433098,0.624807,2.279954
0.020000,16.278365,16.239774,1.316878,4.038385,6.446062,0.648214,2.278790
0.020000,16.224198,16.303125,1.400229,4.167573,6.459404,0.667115,2.277638
0.020000,16.168422,16.368507,1.486170,4.297036,6.473164,0.687977,2.276502
0.020000,16.111038,16.435929,1.574706,4.426783,6.487342,0.708924,2.275386
