dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.558496,17.093584,0.000643,0.064325,3.216252,160.812580,0.001188
0.020000,4.558496,17.093584,0.003216,0.192975,6.432503,160.812580,0.000933
0.020000,4.558496,17.093584,0.008362,0.321625,6.432503,0.000000,0.000423
0.020000,4.561942,17.093584,0.016081,0.450275,6.432503,-0.000000,6.282844
0.020000,4.572233,17.093575,0.026373,0.578925,6.432503,0.000000,6.281826
0.020000,4.585098,17.093549,0.039238,0.707575,6.432503,0.000000,6.280554
0.020000,4.600537,17.093497,0.054676,0.836225,6.432503,0.000000,6.279030
0.020000,4.618547,17.093406,0.072687,0.964875,6.432503,0.000000,6.277255
0.020000,4.639131,17.093263,0.093271,1.093526,6.432503,0.000000,6.275230
0.020000,4.662287,17.093053,0.116428,1.222176,6.432503,-0.000000,6.272957
0.020000,4.688015,17.092757,0.142158,1.350826,6.432503,0.000000,6.270438
0.020000,4.716315,17.092357,0.170461,1.479476,6.432503,-0.000000,6.267674
0.020000,4.747187,17.091832,0.201337,1.608126,6.432503,0.000000,6.264668
0.020000,4.780629,17.091158,0.234786,1.736776,6.432503,0.000000,6.261423
0.020000,4.816641,17.090312,0.270808,1.865426,6.432503,-0.000000,6.257942
0.020000,4.855222,17.089266,0.309403,1.994076,6.432503,0.000000,6.254226
0.020000,4.896370,17.087993,0.350571,2.122726,6.432503,0.000000,6.250282
0.020000,4.940084,17.086462,0.394312,2.251376,6.432503,0.000000,6.246111
0.020000,4.986362,17.084644,0.440626,2.380026,6.432503,-0.000000,6.241718
0.020000,5.035203,17.082505,0.489513,2.508676,6.432503,-0.000000,6.237108
0.020000,5.086602,17.080010,0.540974,2.637326,6.432503,0.000000,6.232285
0.020000,5.140558,17.077125,0.595007,2.765976,6.432503,-0.000000,6.227256
0.020000,5.197067,17.073813,0.651613,2.894626,6.432503,0.000000,6.222025
0.020000,5.256125,17.070035,0.710792,3.023277,6.432503,-0.000000,6.216599
0.020000,5.317729,17.065753,0.772544,3.151927,6.432503,0.000000,6.210985
0.020000,5.381872,17.060927,0.836869,3.280577,6.432503,-0.000000,6.205189
0.020000,5.448551,17.055515,0.903767,3.409227,6.432503,0.000000,6.199220
0.020000,5.517759,17.049476,0.973238,3.537877,6.432503,0.000000,6.193085
0.020000,5.589490,17.042767,1.045282,3.666527,6.432503,-0.000000,6.186793
0.020000,5.663737,17.035347,1.119899,3.795177,6.432503,0.000000,6.180353
0.020000,5.740492,17.027170,1.197089,3.923827,6.432503,-0.000000,6.173775
0.020000,5.819748,17.018194,1.276852,4.052477,6.432503,0.000000,6.167069
0.020000,5.901497,17.008375,1.359188,4.181127,6.432503,0.000000,6.160245
0.020000,5.985728,16.997670,1.444097,4.309777,6.432503,-0.000000,6.153315
0.020000,6.072433,16.986035,1.531579,4.438427,6.432503,0.000000,6.146290
0.020000,6.161601,16.973428,1.621634,4.567077,6.432503,-0.000000,6.139182
0.020000,6.253221,16.959805,1.714262,4.695727,6.432503,0.000000,6.132004
0.020000,6.347284,16.945126,1.809463,4.824377,6.432503,0.000000,6.124769
0.020000,6.443776,16.929349,1.907237,4.953027,6.432503,0.000000,6.117491
0.020000,6.542687,16.912435,2.007584,5.081678,6.432503,-0.000000,6.110184
0.020000,6.644005,16.894346,2.110504,5.210328,6.432503,0.000000,6.102861
0.020000,6.747717,16.875045,2.215997,5.338978,6.432503,0.000000,6.095539
0.020000,6.853811,16.854496,2.324063,5.467628,6.432503,-0.000000,6.088232
0.020000,6.962275,16.832666,2.434702,5.596278,6.432503,0.000000,6.080956
0.020000,7.073096,16.809524,2.547915,5.724928,6.432503,-0.000000,6.073726
