dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.559981,15.843585,0.000643,0.064325,3.216252,160.812580,0.001188
0.020000,4.559663,15.843585,0.000962,0.015945,-2.418984,-281.761776,0.000933
0.020000,4.559025,15.843584,0.001600,0.031877,0.796563,160.777335,0.000423
0.020000,4.561515,15.843584,0.004090,0.124510,4.631668,191.755286,6.282844
0.020000,4.570534,15.843576,0.013109,0.450939,16.321466,584.489857,6.281826
0.020000,4.581809,15.843554,0.024384,0.563773,5.641698,-533.988398,6.280554
0.020000,4.595343,15.843508,0.037917,0.676664,5.644546,0.142396,6.279030
0.020000,4.611135,15.843428,0.053710,0.789607,5.647118,0.128637,6.277255
0.020000,4.629187,15.843303,0.071763,0.902652,5.652280,0.258077,6.275230
0.020000,4.649502,15.843118,0.092078,1.015782,5.656480,0.210010,6.272957
0.020000,4.672081,15.842859,0.114659,1.129039,5.662867,0.319337,6.270438
0.020000,4.696927,15.842508,0.139507,1.242421,5.669107,0.312029,6.267674
0.020000,4.724042,15.842046,0.166626,1.355927,5.675309,0.310093,6.264668
0.020000,4.753429,15.841454,0.196019,1.469642,5.685708,0.519926,6.261423
0.020000,4.785090,15.840710,0.227689,1.583495,5.692664,0.347802,6.257942
0.020000,4.819029,15.839790,0.261640,1.697558,5.703159,0.524756,6.254226
0.020000,4.855248,15.838669,0.297877,1.811834,5.713812,0.532678,6.250282
0.020000,4.893752,15.837321,0.336404,1.926368,5.726691,0.643951,6.246111
0.020000,4.934543,15.835718,0.377227,2.041135,5.738350,0.582902,6.241718
0.020000,4.977626,15.833831,0.420351,2.156218,5.754170,0.791027,6.237108
0.020000,5.023004,15.831629,0.465783,2.271589,5.768547,0.718839,6.232285
0.020000,5.070682,15.829080,0.513529,2.387313,5.786182,0.881735,6.227256
0.020000,5.120664,15.826150,0.563596,2.503368,5.802725,0.827175,6.222025
0.020000,5.172954,15.822805,0.615993,2.619838,5.823546,1.041041,6.216599
0.020000,5.227556,15.819010,0.670727,2.736707,5.843421,0.993746,6.210985
0.020000,5.284476,15.814727,0.727808,2.854024,5.865840,1.120976,6.205189
0.020000,5.343717,15.809919,0.787244,2.971815,5.889581,1.187059,6.199220
0.020000,5.405286,15.804546,0.849047,3.090124,5.915449,1.293388,6.193085
0.020000,5.469186,15.798570,0.913226,3.208956,5.941582,1.306636,6.186793
0.020000,5.535423,15.791950,0.979793,3.328359,5.970135,1.427643,6.180353
0.020000,5.604003,15.784644,1.048760,3.448361,6.000139,1.500187,6.173775
0.020000,5.674929,15.776611,1.120140,3.568996,6.031707,1.578444,6.167069
0.020000,5.748208,15.767810,1.193946,3.690301,6.065285,1.678880,6.160245
0.020000,5.823846,15.758197,1.270192,3.812297,6.099784,1.724938,6.153315
0.020000,5.901847,15.747730,1.348892,3.935020,6.136137,1.817681,6.146290
0.020000,5.982218,15.736366,1.430062,4.058501,6.174045,1.895387,6.139182
0.020000,6.064964,15.724063,1.513718,4.182781,6.214029,1.999218,6.132004
0.020000,6.150091,15.710778,1.599875,4.307869,6.254372,2.017111,6.124769
0.020000,6.237605,15.696469,1.688552,4.433811,6.297142,2.138537,6.117491
0.020000,6.327512,15.681095,1.779764,4.560631,6.340991,2.192437,6.110184
0.020000,6.419820,15.664614,1.873531,4.688351,6.386008,2.250828,6.102861
0.020000,6.514533,15.646987,1.969871,4.816997,6.432279,2.313574,6.095539
0.020000,6.611660,15.628175,2.068803,4.946599,6.480110,2.391545,6.088232
0.020000,6.711208,15.608140,2.170347,5.077172,6.528633,2.426121,6.080956
0.020000,6.813183,15.586845,2.274521,5.208739,6.578381,2.487409,6.073726
0.020000,6.917594,15.564256,2.381348,5.341321,6.629078,2.534884,6.066559
0.020000,7.024448,15.540340,2.490846,5.474933,6.680613,2.576737,6.059472
0.020000,7.133756,15.515065,2.603038,5.609592,6.732934,2.616040,6.052481
0.020000,7.245526,15.488403,2.717945,5.745313,6.786034,2.654983,6.045603
0.020000,7.359769,15.460327,2.835587,5.882108,6.839780,2.687319,6.038855
0.020000,7.476496,15.430813,2.955986,6.019988,6.893999,2.710940,6.032255
0.020000,7.595717,15.399840,3.079166,6.158968,6.949011,2.750634,6.025820
0.020000,7.717447,15.367390,3.205147,6.299052,7.004179,2.758377,6.019568
0.020000,7.841700,15.333447,3.333952,6.440255,7.060143,2.798183,6.013517
0.020000,7.968490,15.298000,3.465604,6.582583,7.116399,2.812835,6.007685
0.020000,8.097833,15.261040,3.600124,6.726040,7.172870,2.823544,6.002090
0.020000,8.229750,15.222564,3.737537,6.870647,7.230317,2.872329,5.996750
0.020000,8.364258,15.182572,3.877865,7.016400,7.287683,2.868327,5.991684
0.020000,8.501381,15.141066,4.021132,7.163315,7.345754,2.903552,5.986910
0.020000,8.641140,15.098057,4.167360,7.311401,7.404278,2.926172,5.982446
0.020000,8.783564,15.053556,4.316573,7.460674,7.463643,2.968252,5.978313
0.020000,8.928678,15.007584,4.468796,7.611142,7.523411,2.988399,5.974529
0.020000,9.076515,14.960162,4.624053,7.762824,7.584097,3.034327,5.971114
0.020000,9.227108,14.911321,4.782367,7.915735,7.645547,3.072471,5.968086
0.020000,9.380492,14.861095,4.943765,8.069897,7.708089,3.127114,5.965467
0.020000,9.536707,14.809525,5.108272,8.225332,7.771772,3.184152,5.963276
0.020000,9.695794,14.756661,5.275913,8.382063,7.836555,3.239127,5.961535
0.020000,9.857800,14.702554,5.446716,8.540123,7.902976,3.321051,5.960264
0.020000,10.022774,14.647269,5.620706,8.699540,7.970856,3.393995,5.959485
0.020000,10.190117,14.591092,5.797227,8.826040,6.324984,-82.293604,5.959221
0.020000,10.358002,14.534734,5.974319,8.854579,1.426982,-244.900072,5.959482
0.020000,10.524654,14.478886,6.150080,8.788042,-3.326865,-237.692343,5.960257
0.020000,10.689504,14.423828,6.323881,8.690098,-4.897209,-78.517197,5.961523
0.020000,10.852553,14.369644,6.495697,8.590797,-4.965027,-3.390892,5.963259
0.020000,11.013796,14.316412,6.665501,8.490171,-5.031309,-3.314146,5.965443
0.020000,11.173230,14.264200,6.833266,8.388248,-5.096173,-3.243175,5.968055
0.020000,11.330847,14.213075,6.998967,8.285052,-5.159783,-3.180511,5.971074
0.020000,11.486638,14.163094,7.162579,8.180607,-5.222221,-3.121879,5.974480
0.020000,11.640593,14.114312,7.324078,8.074932,-5.283762,-3.077041,5.978254
0.020000,11.792699,14.066776,7.483439,7.968050,-5.344108,-3.017320,5.982376
0.020000,11.942941,14.020529,7.640638,7.859966,-5.404182,-3.003724,5.986828
0.020000,12.091304,13.975607,7.795652,7.750703,-5.463171,-2.949412,5.991589
0.020000,12.237768,13.932044,7.948457,7.640270,-5.521669,-2.924893,5.996642
0.020000,12.382314,13.889867,8.099031,7.528674,-5.579757,-2.904404,6.001968
0.020000,12.524919,13.849098,8.247350,7.415931,-5.637174,-2.870853,6.007548
0.020000,12.665561,13.809757,8.393390,7.302045,-5.694306,-2.856618,6.013365
0.020000,12.804215,13.771856,8.537131,7.187029,-5.750770,-2.823194,6.019400
0.020000,12.940855,13.735406,8.678549,7.070891,-5.806935,-2.808247,6.025635
0.020000,13.075453,13.700411,8.817622,6.953636,-5.862759,-2.791208,6.032052
0.020000,13.207980,13.666872,8.954327,6.835275,-5.918007,-2.762374,6.038634
0.020000,13.338408,13.634787,9.088643,6.715821,-5.972746,-2.736989,6.045363
0.020000,13.466706,13.604149,9.220549,6.595283,-6.026894,-2.707378,6.052222
0.020000,13.592844,13.574948,9.350023,6.473672,-6.080543,-2.682434,6.059194
0.020000,13.716789,13.547169,9.477043,6.351001,-6.133542,-2.649967,6.066261
0.020000,13.838510,13.520796,9.601588,6.227286,-6.185747,-2.610259,6.073407
0.020000,13.957976,13.495808,9.723639,6.102543,-6.237166,-2.570949,6.080616
0.020000,14.075154,13.472182,9.843175,5.976788,-6.287749,-2.529167,6.087871
0.020000,14.190011,13.449892,9.960176,5.850040,-6.337364,-2.480725,6.095156
0.020000,14.302518,13.428908,10.074622,5.722325,-6.385787,-2.421136,6.102457
0.020000,14.412641,13.409200,10.186495,5.593653,-6.433577,-2.389531,6.109757
0.020000,14.520351,13.390733,10.295776,5.464062,-6.479575,-2.299900,6.117042
