dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,16.931045,12.537628,0.000649,0.064949,3.247469,162.373440,3.130203
0.020000,16.931045,12.537628,0.003247,0.194848,6.494938,162.373440,3.130514
0.020000,16.931045,12.537628,0.008443,0.324747,6.494938,0.000000,3.131136
0.020000,16.931045,12.537628,0.016237,0.454646,6.494938,0.000000,3.132071
0.020000,16.921386,12.537713,0.026629,0.584544,6.494938,-0.000000,3.133319
0.020000,16.908397,12.537810,0.039619,0.714443,6.494938,0.000000,3.134883
0.020000,16.892810,12.537900,0.055207,0.844342,6.494938,-0.000000,3.136767
0.020000,16.874623,12.537968,0.073393,0.974241,6.494938,0.000000,3.138975
0.020000,16.853839,12.537996,0.094177,1.104139,6.494938,-0.000000,3.141511
0.020000,16.830461,12.537965,0.117558,1.234038,6.494938,0.000000,3.144379
0.020000,16.804478,12.537851,0.143538,1.363937,6.494938,-0.000000,3.147588
0.020000,16.775902,12.537629,0.172116,1.493836,6.494938,0.000000,3.151140
0.020000,16.744730,12.537270,0.203292,1.623734,6.494938,0.000000,3.155046
0.020000,16.710960,12.536744,0.237065,1.753633,6.494938,-0.000000,3.159312
0.020000,16.674594,12.536015,0.273437,1.883532,6.494938,0.000000,3.163947
0.020000,16.635637,12.535047,0.312406,2.013431,6.494938,0.000000,3.168961
0.020000,16.594089,12.533797,0.353974,2.143329,6.494938,0.000000,3.174363
0.020000,16.549954,12.532222,0.398140,2.273228,6.494938,-0.000000,3.180164
0.020000,16.503229,12.530274,0.444903,2.403127,6.494938,0.000000,3.186377
0.020000,16.453926,12.527901,0.494265,2.533026,6.494938,0.000000,3.193013
0.020000,16.402044,12.525047,0.546224,2.662924,6.494938,0.000000,3.200087
0.020000,16.347591,12.521653,0.600782,2.792823,6.494938,-0.000000,3.207612
0.020000,16.290577,12.517655,0.657937,2.922722,6.494938,0.000000,3.215602
0.020000,16.231009,12.512986,0.717691,3.052621,6.494938,-0.000000,3.224073
0.020000,16.168893,12.507571,0.780042,3.182519,6.494938,0.000000,3.233043
0.020000,16.104242,12.501333,0.844991,3.312418,6.494938,0.000000,3.242527
0.020000,16.037073,12.494191,0.912539,3.442317,6.494938,-0.000000,3.252544
0.020000,15.967402,12.486058,0.982684,3.572216,6.494938,0.000000,3.263111
