dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,16.945281,13.787547,0.000649,0.064949,3.247469,162.373440,3.130203
0.020000,16.944893,13.787551,0.001038,0.019433,-2.275811,-276.163981,3.130514
0.020000,16.944115,13.787559,0.001816,0.038888,0.972729,162.426975,3.131136
0.020000,16.942947,13.787571,0.002984,0.058385,0.974869,0.107017,3.132071
0.020000,16.931728,13.787670,0.014204,0.560998,25.130665,1207.789793,3.133319
0.020000,16.916783,13.787782,0.029149,0.747248,9.312462,-790.910168,3.134883
0.020000,16.898841,13.787886,0.047091,0.897122,7.493739,-90.936142,3.136767
0.020000,16.877895,13.787964,0.068037,1.047303,7.509030,0.764557,3.138975
0.020000,16.853941,13.787996,0.091991,1.197692,7.519460,0.521489,3.141511
0.020000,16.826978,13.787960,0.118955,1.348193,7.525042,0.279131,3.144379
0.020000,16.796984,13.787828,0.148948,1.499665,7.573589,2.427360,3.147588
0.020000,16.763968,13.787572,0.181966,1.650877,7.560628,-0.648059,3.151140
0.020000,16.727914,13.787157,0.218022,1.802801,7.596184,1.777810,3.155046
0.020000,16.688812,13.786548,0.257128,1.955333,7.626584,1.519959,3.159312
0.020000,16.646653,13.785703,0.299296,2.108369,7.651820,1.261796,3.163947
0.020000,16.601431,13.784579,0.344532,2.261807,7.671908,1.004438,3.168961
0.020000,16.553133,13.783126,0.392852,2.415986,7.708931,1.851157,3.174363
0.020000,16.501751,13.781293,0.444266,2.570743,7.737872,1.447037,3.180164
0.020000,16.447268,13.779021,0.498797,2.726551,7.790383,2.625542,3.186377
0.020000,16.389678,13.776249,0.556454,2.882806,7.812740,1.117861,3.193013
0.020000,16.328968,13.772909,0.617255,3.040097,7.864549,2.590456,3.200087
0.020000,16.265127,13.768930,0.681220,3.198237,7.907007,2.122871,3.207612
0.020000,16.198150,13.764234,0.748362,3.357081,7.942189,1.759106,3.215602
0.020000,16.128025,13.758736,0.818702,3.517012,7.996580,2.719574,3.224073
0.020000,16.054740,13.752347,0.892265,3.678153,8.057036,3.022802,3.233043
0.020000,15.978288,13.744971,0.969072,3.840339,8.109290,2.612682,3.242527
0.020000,15.898668,13.736505,1.049141,4.003458,8.155965,2.333737,3.252544
0.020000,15.815878,13.726840,1.132493,4.167618,8.208003,2.601905,3.263111
0.020000,15.729915,13.715857,1.219155,4.333054,8.271769,3.188289,3.274247
0.020000,15.640781,13.703432,1.309151,4.499804,8.337501,3.286626,3.285971
0.020000,15.548481,13.689432,1.402506,4.667765,8.398051,3.027513,3.298303
0.020000,15.453033,13.673718,1.499239,4.836666,8.445083,2.351556,3.311260
0.020000,15.354451,13.656140,1.599376,5.006850,8.509189,3.205314,3.324862
0.020000,15.252760,13.636542,1.702939,5.178117,8.563338,2.707454,3.339127
0.020000,15.147990,13.614759,1.809949,5.350528,8.620549,2.860560,3.354071
0.020000,15.040184,13.590620,1.920425,5.523782,8.662727,2.108886,3.369710
0.020000,14.929387,13.563943,2.034388,5.698149,8.718342,2.780763,3.386059
0.020000,14.815665,13.534544,2.151848,5.873006,8.742843,1.225048,3.403128
0.020000,14.699091,13.502229,2.272818,6.048508,8.775086,1.612132,3.420927
0.020000,14.579755,13.466801,2.397302,6.224215,8.785372,0.514298,3.439461
0.020000,14.457754,13.428059,2.525307,6.400230,8.800733,0.768070,3.458730
0.020000,14.333213,13.385801,2.656822,6.575747,8.775871,-1.243092,3.478730
0.020000,14.206268,13.339824,2.791836,6.750722,8.748753,-1.355920,3.499452
0.020000,14.077075,13.289929,2.930329,6.924653,8.696519,-2.611717,3.520879
0.020000,13.945807,13.235920,3.072274,7.097241,8.629426,-3.354621,3.542988
0.020000,13.812659,13.177611,3.217630,7.267800,8.527956,-5.073489,3.565749
0.020000,13.677843,13.114827,3.366348,7.435907,8.405355,-6.130059,3.589121
0.020000,13.541590,13.047406,3.518370,7.601087,8.258966,-7.319461,3.613057
0.020000,13.404147,12.975206,3.673623,7.762639,8.077609,-9.067850,3.637500
0.020000,13.265774,12.898105,3.832026,7.920137,7.874875,-10.136672,3.662385
0.020000,13.126746,12.816004,3.993486,8.073004,7.643357,-11.575900,3.687638
0.020000,12.987341,12.728830,4.157903,8.220890,7.394328,-12.451469,3.713178
0.020000,12.847843,12.636540,4.325167,8.363157,7.113347,-14.049058,3.738917
0.020000,12.708536,12.539119,4.495158,8.499595,6.821875,-14.573613,3.764760
0.020000,12.569699,12.436581,4.667756,8.629880,6.514246,-15.381414,3.790610
0.020000,12.431596,12.328970,4.842834,8.753918,6.201930,-15.615824,3.816365
0.020000,12.294483,12.216358,5.020265,8.871531,5.880665,-16.063265,3.841925
0.020000,12.158592,12.098841,5.199922,8.982832,5.565017,-15.782396,3.867186
0.020000,12.024135,11.976540,5.381681,9.087941,5.255439,-15.478905,3.892051
0.020000,11.891296,11.849596,5.565422,9.187092,4.957559,-14.893981,3.916424
0.020000,11.760232,11.718165,5.751034,9.280596,4.675235,-14.116182,3.940214
0.020000,11.631071,11.582417,5.938411,9.368827,4.411549,-13.184325,3.963337
0.020000,11.503911,11.442531,6.127455,9.452203,4.168791,-12.137917,3.985716
0.020000,11.378819,11.298693,6.318079,9.531187,3.949183,-10.980365,4.007280
0.020000,11.255833,11.151091,6.510204,9.606252,3.753245,-9.796893,4.027967
0.020000,11.134963,10.999915,6.703760,9.677795,3.577168,-8.803847,4.047720
0.020000,11.016192,10.845351,6.898686,9.746320,3.426263,-7.545266,4.066490
0.020000,10.899480,10.687586,7.094930,9.812196,3.293791,-6.623586,4.084236
0.020000,10.784763,10.526799,7.292446,9.875784,3.179380,-5.720590,4.100920
0.020000,10.671956,10.363168,7.491193,9.937386,3.080115,-4.963205,4.116512
0.020000,10.560957,10.196863,7.691138,9.997237,2.992551,-4.378217,4.130982
0.020000,10.451646,10.028053,7.892250,10.055586,2.917415,-3.756805,4.144308
0.020000,10.343888,9.856899,8.094500,10.112519,2.846695,-3.535988,4.156466
0.020000,10.237536,9.683563,8.297862,10.168111,2.779556,-3.356961,4.167434
0.020000,10.132427,9.508204,8.502310,10.222386,2.713767,-3.289429,4.177193
0.020000,10.028391,9.330977,8.707816,10.275310,2.646217,-3.377513,4.185720
0.020000,9.925244,9.152042,8.914352,10.326785,2.573761,-3.622835,4.192992
0.020000,9.822794,8.971561,9.121884,10.376609,2.491167,-4.129685,4.198983
0.020000,9.720839,8.789697,9.330377,10.424624,2.400764,-4.520152,4.203663
0.020000,9.619169,8.606624,9.539787,10.470530,2.295278,-5.274287,4.207000
0.020000,9.517563,8.422520,9.750067,10.514012,2.174110,-6.058425,4.208954
0.020000,9.415795,8.237577,9.961161,10.554694,2.034119,-6.999524,4.209480
0.020000,9.313626,8.052000,10.173004,10.592148,1.872683,-8.071820,4.208527
0.020000,9.210813,7.866007,10.385522,10.625887,1.686965,-9.285895,4.206036
0.020000,9.107101,7.679839,10.598630,10.655378,1.474535,-10.621487,4.201938
0.020000,9.002230,7.493754,10.812230,10.680033,1.232741,-12.089717,4.196156
0.020000,8.896242,7.308576,11.025596,10.668270,-0.588115,-91.042758,4.188628
0.020000,8.789617,7.125864,11.237143,10.577349,-4.546084,-197.898450,4.179342
0.020000,8.682863,6.947121,11.445339,10.409812,-8.376856,-191.538643,4.168329
0.020000,8.576260,6.773342,11.649210,10.193567,-10.812207,-121.767547,4.155632
0.020000,8.469811,6.604967,11.848413,9.960118,-11.672493,-43.014265,4.141279
0.020000,8.363367,6.442123,12.042959,9.727340,-11.638900,1.679608,4.125279
0.020000,8.256804,6.284932,12.232866,9.495344,-11.599784,1.955797,4.107647
0.020000,8.150023,6.133508,12.418154,9.264376,-11.548378,2.570311,4.088397
0.020000,8.042948,5.987952,12.598850,9.034828,-11.477390,3.549401,4.067554
0.020000,7.935527,5.848353,12.774996,8.807300,-11.376405,5.049262,4.045149
0.020000,7.827726,5.714779,12.946644,8.582405,-11.244786,6.580974,4.021224
0.020000,7.719529,5.587279,13.113865,8.361052,-11.067638,8.857387,3.995837
