dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,16.395050,12.537628,0.000646,0.064622,3.231086,161.554290,3.961453
0.020000,16.395050,12.537628,0.003231,0.193865,6.462172,161.554290,3.961455
0.020000,16.395050,12.537628,0.008401,0.323109,6.462172,0.000000,3.961458
0.020000,16.392112,12.534480,0.016155,0.452352,6.462172,0.000000,3.961462
0.020000,16.385058,12.526921,0.026495,0.581595,6.462172,-0.000000,3.961468
0.020000,16.376239,12.517473,0.039419,0.710839,6.462172,0.000000,3.961475
0.020000,16.365657,12.506135,0.054928,0.840082,6.462172,-0.000000,3.961483
0.020000,16.353312,12.492906,0.073023,0.969326,6.462172,0.000000,3.961492
0.020000,16.339203,12.477788,0.093701,1.098569,6.462172,-0.000000,3.961502
0.020000,16.323330,12.460781,0.116965,1.227813,6.462172,0.000000,3.961512
0.020000,16.305694,12.441883,0.142814,1.357056,6.462172,0.000000,3.961522
0.020000,16.286295,12.421095,0.171248,1.486299,6.462172,0.000000,3.961532
0.020000,16.265132,12.398417,0.202266,1.615543,6.462172,-0.000000,3.961541
0.020000,16.242206,12.373849,0.235869,1.744786,6.462172,0.000000,3.961550
0.020000,16.217517,12.347391,0.272057,1.874030,6.462172,-0.000000,3.961557
0.020000,16.191064,12.319044,0.310830,2.003273,6.462172,0.000000,3.961563
0.020000,16.162848,12.288806,0.352188,2.132517,6.462172,-0.000000,3.961567
0.020000,16.132868,12.256678,0.396131,2.261760,6.462172,0.000000,3.961568
0.020000,16.101125,12.222660,0.442659,2.391003,6.462172,-0.000000,3.961566
0.020000,16.067619,12.186753,0.491771,2.520247,6.462172,0.000000,3.961560
0.020000,16.032348,12.148956,0.543469,2.649490,6.462172,-0.000000,3.961551
0.020000,15.995314,12.109269,0.597751,2.778734,6.462172,0.000000,3.961536
0.020000,15.956515,12.067694,0.654618,2.907977,6.462172,0.000000,3.961516
0.020000,15.915952,12.024229,0.714070,3.037221,6.462172,0.000000,3.961490
0.020000,15.873624,11.978876,0.776107,3.166464,6.462172,-0.000000,3.961457
0.020000,15.829530,11.931635,0.840729,3.295708,6.462172,0.000000,3.961416
0.020000,15.783670,11.882507,0.907935,3.424951,6.462172,0.000000,3.961367
0.020000,15.736044,11.831491,0.977727,3.554194,6.462172,-0.000000,3.961310
0.020000,15.686651,11.778589,1.050103,3.683438,6.462172,0.000000,3.961242
0.020000,15.635489,11.723801,1.125064,3.812681,6.462172,-0.000000,3.961163
0.020000,15.582559,11.667129,1.202610,3.941925,6.462172,0.000000,3.961073
0.020000,15.527859,11.608573,1.282741,4.071168,6.462172,-0.000000,3.960971
0.020000,15.471387,11.548134,1.365457,4.200412,6.462172,0.000000,3.960855
0.020000,15.413143,11.485813,1.450758,4.329655,6.462172,0.000000,3.960725
0.020000,15.353125,11.421612,1.538643,4.458898,6.462172,-0.000000,3.960579
0.020000,15.291332,11.355533,1.629113,4.588142,6.462172,0.000000,3.960417
0.020000,15.227762,11.287576,1.722169,4.717385,6.462172,0.000000,3.960237
0.020000,15.162413,11.217744,1.817809,4.846629,6.462172,0.000000,3.960039
0.020000,15.095282,11.146039,1.916034,4.975872,6.462172,-0.000000,3.959821
0.020000,15.026369,11.072462,2.016844,5.105116,6.462172,0.000000,3.959583
0.020000,14.955669,10.997017,2.120239,5.234359,6.462172,0.000000,3.959322
0.020000,14.883181,10.919705,2.226218,5.363602,6.462172,0.000000,3.959038
0.020000,14.808901,10.840529,2.334783,5.492846,6.462172,-0.000000,3.958730
0.020000,14.732827,10.759493,2.445932,5.622089,6.462172,0.000000,3.958396
0.020000,14.654955,10.676599,2.559666,5.751333,6.462172,-0.000000,3.958035
0.020000,14.575281,10.591851,2.675985,5.880576,6.462172,0.000000,3.957646
0.020000,14.493802,10.505252,2.794889,6.009820,6.462172,0.000000,3.957227
0.020000,14.410513,10.416807,2.916378,6.139063,6.462172,-0.000000,3.956777
0.020000,14.325410,10.326520,3.040452,6.268306,6.462172,0.000000,3.956295
0.020000,14.238488,10.234396,3.167110,6.397550,6.462172,0.000000,3.955778
0.020000,14.149741,10.140439,3.296354,6.526793,6.462172,-0.000000,3.955227
0.020000,14.059166,10.044654,3.428182,6.656037,6.462172,0.000000,3.954638
0.020000,13.966754,9.947047,3.562595,6.785280,6.462172,0.000000,3.954011
0.020000,13.872502,9.847624,3.699593,6.914524,6.462172,-0.000000,3.953343
0.020000,13.776401,9.746392,3.839176,7.043767,6.462172,0.000000,3.952634
0.020000,13.678445,9.643356,3.981344,7.173010,6.462172,-0.000000,3.951882
0.020000,13.578627,9.538524,4.126097,7.302254,6.462172,0.000000,3.951085
0.020000,13.476940,9.431904,4.273434,7.431497,6.462172,-0.000000,3.950241
0.020000,13.373374,9.323502,4.423356,7.560741,6.462172,0.000000,3.949349
0.020000,13.267921,9.213329,4.575864,7.689984,6.462172,0.000000,3.948407
0.020000,13.160573,9.101392,4.730956,7.819228,6.462172,-0.000000,3.947413
0.020000,13.051319,8.987701,4.888633,7.948471,6.462172,0.000000,3.946365
0.020000,12.940150,8.872265,5.048895,8.077715,6.462172,0.000000,3.945262
0.020000,12.827055,8.755096,5.211741,8.206958,6.462172,0.000000,3.944101
0.020000,12.712024,8.636204,5.377173,8.336201,6.462172,-0.000000,3.942880
0.020000,12.595044,8.515600,5.545189,8.465445,6.462172,0.000000,3.941599
0.020000,12.476104,8.393297,5.715791,8.594688,6.462172,0.000000,3.940254
0.020000,12.355191,8.269307,5.888977,8.723932,6.462172,-0.000000,3.938844
0.020000,12.232292,8.143644,6.064748,8.853175,6.462172,0.000000,3.937367
0.020000,12.107392,8.016322,6.243104,8.982419,6.462172,0.000000,3.935820
0.020000,11.980479,7.887355,6.424045,9.111662,6.462172,0.000000,3.934202
0.020000,11.851536,7.756758,6.607570,9.240905,6.462172,-0.000000,3.932511
0.020000,11.720548,7.624549,6.793681,9.370149,6.462172,0.000000,3.930744
0.020000,11.587499,7.490743,6.982376,9.499392,6.462172,-0.000000,3.928899
0.020000,11.452372,7.355359,7.173657,9.628636,6.462172,0.000000,3.926974
0.020000,11.315150,7.218415,7.367522,9.757879,6.462172,0.000000,3.924967
0.020000,11.175814,7.079930,7.563972,9.887123,6.462172,-0.000000,3.922876
0.020000,11.034345,6.939925,7.763007,10.016366,6.462172,0.000000,3.920698
0.020000,10.890724,6.798420,7.964627,10.145609,6.462172,-0.000000,3.918431
0.020000,10.744931,6.655438,8.168831,10.274853,6.462172,0.000000,3.916073
0.020000,10.596945,6.511002,8.375621,10.404096,6.462172,0.000000,3.913621
0.020000,10.446744,6.365135,8.584995,10.533340,6.462172,-0.000000,3.911073
0.020000,10.294305,6.217862,8.796954,10.662583,6.462172,0.000000,3.908428
0.020000,10.139606,6.069210,9.011498,10.791827,6.462172,0.000000,3.905681
0.020000,9.983091,5.919652,9.227981,10.856448,3.231086,-161.554290,3.902840
0.020000,9.826071,5.770472,9.444568,10.802223,-2.711246,-297.116588,3.899928
0.020000,9.669872,5.622943,9.659424,10.683377,-5.942332,-161.554290,3.896970
0.020000,9.515044,5.477577,9.871799,10.554133,-6.462172,-25.991993,3.893980
0.020000,9.361669,5.334440,10.081589,10.424890,-6.462172,-0.000000,3.890960
0.020000,9.209756,5.193527,10.288794,10.295646,-6.462172,0.000000,3.887913
0.020000,9.059313,5.054832,10.493415,10.166403,-6.462172,0.000000,3.884843
0.020000,8.910349,4.918347,10.695451,10.037160,-6.462172,-0.000000,3.881751
0.020000,8.762873,4.784065,10.894901,9.907916,-6.462172,0.000000,3.878639
0.020000,8.616897,4.651978,11.091767,9.778673,-6.462172,0.000000,3.875512
0.020000,8.472429,4.522078,11.286048,9.649429,-6.462172,-0.000000,3.872370
0.020000,8.329480,4.394355,11.477744,9.520186,-6.462172,0.000000,3.869216
0.020000,8.188062,4.268801,11.666856,9.390942,-6.462172,-0.000000,3.866053
0.020000,8.048185,4.145405,11.853382,9.261699,-6.462172,0.000000,3.862882
0.020000,7.914096,4.030058,12.037324,9.132456,-6.462172,0.000000,3.840217
0.020000,7.773817,3.915121,12.218680,9.003212,-6.462172,-0.000000,3.815765
0.020000,7.632812,3.805233,12.397452,8.873969,-6.462172,0.000000,3.791399
0.020000,7.491256,3.700341,12.573639,8.744725,-6.462172,0.000000,3.767180
0.020000,7.349325,3.600382,12.747241,8.615482,-6.462172,-0.000000,3.743170
0.020000,7.207196,3.505278,12.918258,8.486238,-6.462172,0.000000,3.719426
0.020000,7.065045,3.414939,13.086691,8.356995,-6.462172,0.000000,3.696004
0.020000,6.923046,3.329263,13.252538,8.227752,-6.462172,-0.000000,3.672956
0.020000,6.781370,3.248136,13.415801,8.098508,-6.462172,0.000000,3.650329
0.020000,6.640184,3.171437,13.576478,7.969265,-6.462172,-0.000000,3.628166
0.020000,6.499648,3.099034,13.734571,7.840021,-6.462172,0.000000,3.606504
0.020000,6.359918,3.030789,13.890079,7.710778,-6.462172,-0.000000,3.585377
0.020000,6.221142,2.966557,14.043002,7.581534,-6.462172,0.000000,3.564812
0.020000,6.083459,2.906190,14.193341,7.452291,-6.462172,0.000000,3.544832
0.020000,5.947002,2.849535,14.341094,7.323048,-6.462172,-0.000000,3.525454
0.020000,5.811894,2.796438,14.486263,7.193804,-6.462172,0.000000,3.506691
0.020000,5.678253,2.746744,14.628846,7.064561,-6.462172,0.000000,3.488551
0.020000,5.546185,2.700297,14.768845,6.935317,-6.462172,-0.000000,3.471040
0.020000,5.415791,2.656944,14.906259,6.806074,-6.462172,0.000000,3.454158
0.020000,5.287162,2.616532,15.041088,6.676830,-6.462172,0.000000,3.437902
0.020000,5.160384,2.578911,15.173332,6.547587,-6.462172,0.000000,3.422268
0.020000,5.035532,2.543935,15.302991,6.418343,-6.462172,-0.000000,3.407247
0.020000,4.912678,2.511461,15.430066,6.289100,-6.462172,0.000000,3.392830
0.020000,4.791886,2.481350,15.554555,6.159857,-6.462172,0.000000,3.379005
0.020000,4.673214,2.453468,15.676460,6.030613,-6.462172,-0.000000,3.365759
0.020000,4.556714,2.427685,15.795780,5.901370,-6.462172,0.000000,3.353078
0.020000,4.442433,2.403877,15.912515,5.772126,-6.462172,0.000000,3.340946
0.020000,4.330415,2.381923,16.026665,5.642883,-6.462172,-0.000000,3.329347
0.020000,4.220697,2.361709,16.138230,5.513639,-6.462172,0.000000,3.318265
0.020000,4.113313,2.343125,16.247211,5.384396,-6.462172,-0.000000,3.307684
