dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,16.216385,14.413610,0.000642,0.064236,3.211807,160.590352,2.303832
0.020000,16.216385,14.413610,0.003212,0.192708,6.423614,160.590352,2.303773
0.020000,16.216385,14.413610,0.008351,0.321181,6.423614,0.000000,2.303654
0.020000,16.212476,14.417953,0.016059,0.449653,6.423614,-0.000000,2.303477
0.020000,16.205603,14.425595,0.026337,0.578125,6.423614,0.000000,2.303242
0.020000,16.197013,14.435148,0.039184,0.706598,6.423614,0.000000,2.302949
0.020000,16.186710,14.446616,0.054601,0.835070,6.423614,0.000000,2.302598
0.020000,16.174694,14.460000,0.072587,0.963542,6.423614,-0.000000,2.302192
0.020000,16.160968,14.475301,0.093142,1.092014,6.423614,0.000000,2.301729
0.020000,16.145535,14.492523,0.116267,1.220487,6.423614,-0.000000,2.301213
0.020000,16.128398,14.511668,0.141962,1.348959,6.423614,0.000000,2.300643
0.020000,16.109559,14.532738,0.170226,1.477431,6.423614,0.000000,2.300021
0.020000,16.089023,14.555737,0.201059,1.605904,6.423614,-0.000000,2.299350
0.020000,16.066793,14.580668,0.234462,1.734376,6.423614,0.000000,2.298629
0.020000,16.042873,14.607535,0.270434,1.862848,6.423614,-0.000000,2.297861
0.020000,16.017266,14.636341,0.308976,1.991320,6.423614,0.000000,2.297048
0.020000,15.989979,14.667090,0.350087,2.119793,6.423614,-0.000000,2.296193
0.020000,15.961014,14.699786,0.393768,2.248265,6.423614,0.000000,2.295296
0.020000,15.930378,14.734434,0.440018,2.376737,6.423614,-0.000000,2.294360
0.020000,15.898074,14.771038,0.488837,2.505209,6.423614,0.000000,2.293388
0.020000,15.864109,14.809601,0.540226,2.633682,6.423614,0.000000,2.292382
0.020000,15.828486,14.850130,0.594184,2.762154,6.423614,0.000000,2.291346
0.020000,15.791212,14.892627,0.650712,2.890626,6.423614,0.000000,2.290281
0.020000,15.752292,14.937098,0.709809,3.019099,6.423614,0.000000,2.289190
0.020000,15.711730,14.983547,0.771476,3.147571,6.423614,0.000000,2.288078
0.020000,15.669532,15.031979,0.835712,3.276043,6.423614,-0.000000,2.286946
0.020000,15.625705,15.082399,0.902518,3.404515,6.423614,0.000000,2.285799
0.020000,15.580252,15.134810,0.971893,3.532988,6.423614,0.000000,2.284639
0.020000,15.533178,15.189217,1.043837,3.661460,6.423614,-0.000000,2.283471
0.020000,15.484490,15.245624,1.118351,3.789932,6.423614,-0.000000,2.282299
0.020000,15.434191,15.304035,1.195435,3.918405,6.423614,0.000000,2.281125
0.020000,15.382286,15.364454,1.275087,4.046877,6.423614,-0.000000,2.279954
0.020000,15.328780,15.426885,1.357310,4.175349,6.423614,0.000000,2.278790
0.020000,15.273677,15.491330,1.442101,4.303821,6.423614,0.000000,2.277638
0.020000,15.216979,15.557794,1.529463,4.432294,6.423614,0.000000,2.276502
0.020000,15.158691,15.626278,1.619393,4.560766,6.423614,0.000000,2.275386
0.020000,15.098816,15.696784,1.711893,4.689238,6.423614,0.000000,2.274295
0.020000,15.037355,15.769316,1.806963,4.817711,6.423614,0.000000,2.273234
0.020000,14.974311,15.843873,1.904602,4.946183,6.423614,-0.000000,2.272208
0.020000,14.909686,15.920458,2.004810,5.074655,6.423614,0.000000,2.271221
0.020000,14.843478,15.999070,2.107588,5.203127,6.423614,0.000000,2.270280
0.020000,14.775690,16.079710,2.212935,5.331600,6.423614,-0.000000,2.269389
0.020000,14.706319,16.162376,2.320852,5.460072,6.423614,-0.000000,2.268554
0.020000,14.635365,16.247068,2.431338,5.588544,6.423614,0.000000,2.267780
0.020000,14.562825,16.333783,2.544394,5.717017,6.423614,-0.000000,2.267073
0.020000,14.488696,16.422519,2.660019,5.845489,6.423614,-0.000000,2.266439
0.020000,14.412974,16.513272,2.778213,5.973961,6.423614,0.000000,2.265884
0.020000,14.335653,16.606037,2.898977,6.102433,6.423614,-0.000000,2.265415
0.020000,14.256727,16.700809,3.022310,6.230906,6.423614,-0.000000,2.265036
0.020000,14.176188,16.797583,3.148213,6.359378,6.423614,0.000000,2.264755
0.020000,14.094029,16.896350,3.276686,6.487850,6.423614,-0.000000,2.264579
0.020000,14.010238,16.997103,3.407727,6.616322,6.423614,0.000000,2.264513
0.020000,13.924806,17.099832,3.541338,6.744795,6.423614,0.000000,2.264565
0.020000,13.837719,17.204526,3.677519,6.873267,6.423614,0.000000,2.264741
0.020000,13.748962,17.311175,3.816269,7.001739,6.423614,0.000000,2.265049
0.020000,13.658521,17.419764,3.957589,7.130212,6.423614,0.000000,2.265496
