dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.557010,18.343583,0.000643,0.064325,3.216252,160.812580,0.001188
0.020000,4.557329,18.343584,0.000962,0.015945,-2.418984,-281.761776,0.000933
0.020000,4.557967,18.343584,0.001600,0.031877,0.796563,160.777335,0.000423
0.020000,4.562368,18.343584,0.006001,0.220075,9.409920,430.667843,6.282844
0.020000,4.573933,18.343574,0.017566,0.578240,17.908274,424.917694,6.281826
0.020000,4.588388,18.343545,0.032021,0.722730,7.224452,-534.191056,6.280554
0.020000,4.605731,18.343486,0.049364,0.867157,7.221386,-0.153331,6.279030
0.020000,4.625960,18.343384,0.069593,1.011487,7.216513,-0.243633,6.277255
0.020000,4.649075,18.343224,0.092709,1.155756,7.213444,-0.153456,6.275230
0.020000,4.675072,18.342987,0.118707,1.299908,7.207562,-0.294107,6.272957
0.020000,4.703949,18.342656,0.147586,1.443964,7.202820,-0.237086,6.270438
0.020000,4.735704,18.342207,0.179344,1.587887,7.196147,-0.333645,6.267674
0.020000,4.770331,18.341618,0.213977,1.731639,7.187591,-0.427793,6.264668
0.020000,4.807830,18.340862,0.251482,1.875288,7.182460,-0.256582,6.261423
0.020000,4.848193,18.339913,0.291856,2.018706,7.170893,-0.578340,6.257942
0.020000,4.891415,18.338742,0.335095,2.161940,7.161693,-0.459997,6.254226
0.020000,4.937492,18.337316,0.381194,2.304948,7.150429,-0.563177,6.250282
0.020000,4.986417,18.335603,0.430149,2.447741,7.139614,-0.540766,6.246111
0.020000,5.038182,18.333569,0.481954,2.590235,7.124746,-0.743430,6.241718
0.020000,5.092779,18.331178,0.536603,2.732486,7.112539,-0.610333,6.237108
0.020000,5.150200,18.328391,0.594091,2.874401,7.095756,-0.839131,6.232285
0.020000,5.210434,18.325171,0.654412,3.016006,7.080238,-0.775910,6.227256
0.020000,5.273470,18.321476,0.717556,3.157213,7.060366,-0.993586,6.222025
0.020000,5.339297,18.317265,0.783517,3.298070,7.042808,-0.877915,6.216599
0.020000,5.407901,18.312497,0.852287,3.438487,7.020866,-1.097076,6.210985
0.020000,5.479269,18.307127,0.923856,3.578464,6.998845,-1.101083,6.205189
0.020000,5.553384,18.301111,0.998216,3.717966,6.975112,-1.186639,6.199220
0.020000,5.630232,18.294406,1.075355,3.856978,6.950596,-1.225791,6.193085
0.020000,5.709793,18.286965,1.155264,3.995436,6.922908,-1.384421,6.186793
0.020000,5.792050,18.278743,1.237930,4.133330,6.894689,-1.410953,6.180353
0.020000,5.876982,18.269696,1.323343,4.270624,6.864691,-1.499898,6.173775
0.020000,5.964568,18.259777,1.411489,4.407285,6.833037,-1.582667,6.167069
0.020000,6.054785,18.248941,1.502354,4.543290,6.800272,-1.638265,6.160245
0.020000,6.147610,18.237143,1.595926,4.678591,6.765070,-1.760120,6.153315
0.020000,6.243018,18.224341,1.692190,4.813164,6.728618,-1.822609,6.146290
0.020000,6.340984,18.210489,1.791129,4.946976,6.690597,-1.901052,6.139182
0.020000,6.441479,18.195547,1.892729,5.080010,6.651711,-1.944288,6.132004
0.020000,6.544477,18.179474,1.996973,5.212209,6.609960,-2.087524,6.124769
0.020000,6.649947,18.162229,2.103845,5.343568,6.567967,-2.099650,6.117491
0.020000,6.757862,18.143776,2.213326,5.474053,6.524211,-2.187792,6.110184
0.020000,6.868190,18.124078,2.325398,5.603631,6.478942,-2.263458,6.102861
0.020000,6.980901,18.103102,2.440044,5.732280,6.432415,-2.326387,6.095539
0.020000,7.095962,18.080817,2.557244,5.859983,6.385146,-2.363446,6.088232
0.020000,7.213342,18.057193,2.676978,5.986708,6.336269,-2.443831,6.080956
0.020000,7.333010,18.032204,2.799227,6.112440,6.286591,-2.483896,6.073726
0.020000,7.454932,18.005827,2.923970,6.237159,6.235956,-2.531763,6.066559
0.020000,7.579078,17.978041,3.051187,6.360847,6.184403,-2.577653,6.059472
0.020000,7.705414,17.948829,3.180857,6.483488,6.132039,-2.618169,6.052481
0.020000,7.833911,17.918178,3.312958,6.605068,6.079015,-2.651212,6.045603
0.020000,7.964535,17.886076,3.447469,6.725575,6.025324,-2.684566,6.038855
0.020000,8.097258,17.852518,3.584369,6.844993,5.970900,-2.721190,6.032255
0.020000,8.232050,17.817500,3.723636,6.963317,5.916225,-2.733768,6.025820
0.020000,8.368883,17.781024,3.865246,7.080530,5.860668,-2.777844,6.019568
0.020000,8.507728,17.743096,4.009179,7.196631,5.805027,-2.782051,6.013517
0.020000,8.648560,17.703723,4.155411,7.311607,5.748780,-2.812333,6.007685
